"feature","R2","F","p"
"s__Rothia mucilaginosa_B",0.00717465971356227,0.715424237094654,0.765
"s__Rothia sp001808955",0.005626057331088,0.560131004924337,0.95
"s__Rothia sp015265375",0.0131532082620934,1.31952358648706,0.06
"s__Rothia sp902373285",0.00792406196629311,0.790748071380363,0.605
"g__Corynebacterium_HROM_Genome_0380",0.00948056577467566,0.947559411014425,0.25
"g__Corynebacterium_HROM_Genome_0382",0.0104091073933081,1.04134106289423,0.255
"s__Corynebacterium durum",0.00646080867879149,0.643779394700868,0.795
"s__Corynebacterium matruchotii",0.00857111372666083,0.855876070071937,0.48
"g__Arachnia_HROM_Genome_0390",0.0195324570488676,1.97223586006484,0.055
"g__Arachnia_HROM_Genome_0393",0.00548543141985034,0.546053047106688,0.955
"g__Arachnia_HROM_Genome_0394",0.00889887764311788,0.888899090915809,0.4
"g__Arachnia_HROM_Genome_0395",0.010169600132301,1.01713426182139,0.255
"g__Arachnia_HROM_Genome_0396",0.00913504128865905,0.912706700975089,0.405
"s__Arachnia propionica",0.0129692257384461,1.30082402857879,0.135
"s__Arachnia rubra",0.0114107123408297,1.14269953745605,0.24
"s__Arachnia sp013333945",0.00883331216388479,0.882291460111287,0.44
"s__Arachnia sp900607225",0.00768895824862265,0.767105105744013,0.6
"s__Arachnia sp905372155",0.00960674227233391,0.960292770109485,0.415
"s__Cutibacterium acnes",0.00868400491417806,0.867247669527615,0.435
"g__Fen-668_HROM_Genome_0397",0.0122272750982131,1.22548457171001,0.145
"s__Propionibacterium acidifaciens",0.0130860885784809,1.31270088938516,0.12
"g__Lancefieldella_HROM_Genome_0409",0.00746374420914562,0.744467189379044,0.68
"g__Lancefieldella_HROM_Genome_0430",0.00797613012280455,0.79598576822088,0.625
"g__Lancefieldella_HROM_Genome_0436",0.006763285729578,0.674124584409919,0.805
"g__Lancefieldella_HROM_Genome_0485",0.00451278005027604,0.448790517873139,1
"g__Lancefieldella_HROM_Genome_0675",0.00805103063376476,0.803521206591862,0.57
"g__Lancefieldella_HROM_Genome_0711",0.00951144985367919,0.950675841104005,0.355
"g__Lancefieldella_HROM_Genome_0712",0.00774040152133728,0.772277488458953,0.71
"g__Lancefieldella_HROM_Genome_0761",0.0101649368456679,1.01666306355549,0.24
"g__Lancefieldella_HROM_Genome_0801",0.00705219391165112,0.703125776574142,0.685
"g__Lancefieldella_HROM_Genome_0811",0.0097269850235844,0.972430332616698,0.33
"g__Lancefieldella_HROM_Genome_0815",0.00678402374725759,0.67620574682298,0.74
"g__Lancefieldella_HROM_Genome_0839",0.00632376829006113,0.630037270428343,0.835
"g__Lancefieldella_HROM_Genome_0863",0.00931875716263598,0.931234911098861,0.305
"g__Lancefieldella_HROM_Genome_0872",0.00693129659962692,0.690987804784753,0.76
"g__Lancefieldella_HROM_Genome_0923",0.00649545517377767,0.647254273322391,0.85
"g__Lancefieldella_HROM_Genome_0934",0.00587767087231015,0.585329792229185,0.94
"s__Lancefieldella parvula",0.00571775563668187,0.569313000650008,0.93
"s__Lancefieldella sp000564995",0.00703497170845596,0.701396503697059,0.765
"s__Lancefieldella sp015259045",0.00673973193899231,0.671760950695006,0.685
"s__Olegusella sp000466405",0.00818817015663144,0.817321210651955,0.49
"s__Olsenella uli",0.00947740704361146,0.947240682837049,0.345
"g__Olsenella_F_HROM_Genome_0958",0.0087795628791884,0.876875306934087,0.475
"g__Olsenella_F_HROM_Genome_0959",0.00825342562528178,0.823889043849795,0.59
"s__Olsenella_F profusa_A",0.0105364628762609,1.05421754881644,0.25
"s__Olsenella_F sp001189515",0.00739747838239643,0.73780828066381,0.68
"s__Olsenella_I phocaeensis",0.00691070187497543,0.688920409186039,0.81
"s__Cryptobacterium curtum",0.0123019096544177,1.23305802419971,0.085
"s__Slackia exigua",0.0078519527024896,0.783495285470609,0.64
"g__Alloprevotella_HROM_Genome_1039",0.00910828176931376,0.910008509075192,0.475
"g__Alloprevotella_HROM_Genome_1042",0.00694934363226157,0.692799521537325,0.78
"g__Alloprevotella_HROM_Genome_1044",0.00560856351141373,0.558379494488268,0.86
"g__Alloprevotella_HROM_Genome_1050",0.00681292805864424,0.679106582093736,0.735
"g__Alloprevotella_HROM_Genome_1051",0.00629812906386853,0.62746664322529,0.85
"g__Alloprevotella_HROM_Genome_1058",0.00544850623257522,0.542357153355285,0.965
"g__Alloprevotella_HROM_Genome_1059",0.00645342751712096,0.643039130615072,0.905
