"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"f__Pasteurellaceae_HROM_Genome_4958","s__Porphyromonas gingivalis","P_Oxolinic acid",0.00723248071978614,0.786666666666667,0.185551229210774,0.0106728715353323,0.473333333333333,1
"s__Haemophilus seminalis","s__Porphyromonas gingivalis","P_Oxolinic acid",-0.0241907553930752,0.793333333333333,0.366481364045895,-0.0055258167236289,0.4,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","P_(3Z)-3-butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1-one",-0.00305792019184171,0.8,0.0715185047516645,-0.00215266934126022,0.433333333333333,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_PYRIDOXINE",-0.00300157658116976,0.82,-0.0363729553106798,0.0213564794065927,0.78,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","P_5-OXO-L-PROLINE",-0.000720933277347154,0.826666666666667,0.0776292885557927,-0.00336600741983941,0.2,1
"s__Olsenella_F profusa_A","s__Acinetobacter junii","P_Isoleucylaspartate",0.0110370227883799,0.826666666666667,0.138094016713079,0.0165289163241821,0.573333333333333,1
"g__Granulicatella_HROM_Genome_2607","s__Escherichia coli","P_2,6-Xylidine",-0.000554366796478714,0.826666666666667,-0.0178797655355823,0.00604141528396904,0.453333333333333,1
"g__Nanogingivalis_HROM_Genome_3868","s__Moraxella_A cinereus","N_(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.00298016015641035,0.826666666666667,-0.0239226703563668,-0.00422938570305809,0.78,1
"s__Streptococcus sp013394695","s__Prevotella veroralis","N_Cytosine",0.000389500624332965,0.826666666666667,0.00105824982314475,0.0110909284415491,0.926666666666667,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","P_(13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo_]trideca-2(7),3,5,10-tetraen-5-ol",-0.00238923158493928,0.84,0.0298943764189021,0.000757207146689676,0.78,1
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli","P_2-Aminobenzimidazole",-0.00203205549949801,0.846666666666667,0.0827067060975528,-0.00288147191328939,0.36,1
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli","P_2,6-Xylidine",0.000696012361006384,0.853333333333333,-0.0269211790069504,-0.00132100856746302,0.36,1
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","P_Kainic acid",0.00106633377446673,0.853333333333333,-0.0548432508431405,0.00123823659144938,0.58,1
"g__JABCPE02_HROM_Genome_1191","s__Escherichia coli","P_2,6-Xylidine",-0.000947838405667555,0.853333333333333,0.00606221978480656,0.000763714423854569,0.866666666666667,1
"s__Streptococcus mitis_L","s__Cutibacterium modestum","P_4-Hexylaniline",-0.000632981665028934,0.853333333333333,0.0935581070809749,-0.00981510067835761,0.0133333333333333,1
"g__Mogibacterium_HROM_Genome_1916","s__Escherichia coli","P_2,6-Xylidine",0.00144439634564334,0.86,0.0115315652059465,0.00438659058933072,0.72,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","P_2-amino-4-hydroxypyrimidine-5-carboxylic acid",0.00101000820950317,0.866666666666667,-0.0564468146831268,-0.0066208534570276,0.0466666666666667,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","N_Acamprosate",-0.00098114207391006,0.873333333333333,0.0216680012846916,0.000750443719845243,0.466666666666667,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_Kainic acid",-0.0024406975780747,0.873333333333333,-0.04264060255082,0.00152787592108791,0.6,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","P_4-PYRIDOXATE",-0.000762377513098301,0.873333333333333,0.000461218993752441,0.0029239580599998,0.953333333333333,1
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli","P_N-(2-Furoyl)glycine",-0.00456219069188257,0.873333333333333,0.0893342100599663,-0.000149783163547494,0.553333333333333,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_Methyleugenol",-0.00217707619265067,0.873333333333333,0.0562332603504547,0.000670660431257399,0.573333333333333,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","N_(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",-0.000655388206866486,0.88,0.267804276918083,0.0022950828878566,0.0133333333333333,1
"g__Granulicatella_HROM_Genome_2601","s__Escherichia coli","P_2,6-Xylidine",-0.000595959884557999,0.886666666666667,-0.0338170263495909,0.00245515186940729,0.186666666666667,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","P_Dexchlorpheniramine",-0.00135086731583574,0.886666666666667,0.0397383565368241,-0.000947753009649101,0.84,1
"s__Scardovia wiggsiae","s__CAISGS01 sp017418605","P_Coumaric acid (isomer of 189, 194)",-0.000345307303617804,0.893333333333333,0.0161992570085094,-0.00172386796849953,0.786666666666667,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","N_(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",-0.00120392564624872,0.9,0.0666303703167046,-0.000770609172749014,0.593333333333333,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_Osthol",-0.00349074275476676,0.9,0.22865669007839,-0.000324792543429198,0.42,1
"s__Scardovia wiggsiae","s__Sphingomonas echinoides","P_Phenylacetylglutamine",-0.00187488812487846,0.906666666666667,-0.0312423218881129,0.00366308395233799,0.653333333333333,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","P_2-Phenylacetamide",-0.000175377635233385,0.906666666666667,0.0901694154550951,0.00043958851517624,0.153333333333333,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","P_Phenylacetylglutamine",0.000418405976077741,0.913333333333333,0.0979871129524605,-0.0025718943095232,0.246666666666667,1
"s__Streptococcus mitis_BO","s__Neisseria mucosa_A","P_4-Aminobenzoic acid",-0.00061942364797173,0.913333333333333,-0.00778653740007456,-0.0363065446390274,0.826666666666667,1
"g__Streptococcus_HROM_Genome_2387","s__Burkholderia contaminans","P_1,2,3,4-tetrahydro-6-methoxy-1-oxo-beta-carboline",-0.000443901675835458,0.92,0.00167300916617679,-0.00037510379404521,0.933333333333333,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_5-OXO-L-PROLINE",-0.00117782003739655,0.92,0.169033627235689,-0.00172103800196752,0.0666666666666667,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_Oxolinic acid",-0.00769869894914951,0.92,-0.524023025734718,0.0010216121205596,0.34,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_2-Phenylacetamide",-0.000506694465490845,0.92,0.139738237405121,-0.00122908408991358,0.14,1
"s__Streptococcus sp013394695","s__Prevotella veroralis","P_Aniline",0.000490534613825592,0.92,-0.0481353044380669,-0.00364558399906245,0.406666666666667,1
"s__Streptococcus mitis_Q","s__Neisseria mucosa_A","P_N-(2,5-dioxocyclopentyl)acetamide",0.00131293638057316,0.92,0.0277234360790322,0.0112406999622399,0.566666666666667,1
"g__Porphyromonas_HROM_Genome_1091","s__Prevotella melaninogenica","P_(E)-1-(4-methylquinazolin-2(1H)-ylidene)guanidine",0.000483792367099969,0.92,-0.01579070173523,0.000167146175854417,0.84,1
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","P_PYRIDOXINE",0.00210175105198101,0.926666666666667,-0.0256148985841615,0.0368542225572643,0.84,1
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","P_N-(2,5-dioxocyclopentyl)acetamide",0.0015828751471225,0.926666666666667,-0.0882953702385994,-0.0103331826847888,0.44,1
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","P_Oxolinic acid",0.00232713859629401,0.933333333333333,-0.43165895200216,0.00331887485847628,0.413333333333333,1
"f__Nanosyncoccaceae_HROM_Genome_4791","s__Lawsonella sp018376445","P_Propionic acid",-0.000626540915088303,0.933333333333333,-0.106595125158731,0.00341911585285514,0.02,1
"g__Gemella_HROM_Genome_2694","s__Escherichia coli","P_2,6-Xylidine",-0.000283092908108014,0.933333333333333,-0.0139189854603415,0.00147798289338739,0.62,1
"s__Centipeda sp000318175","s__Cutibacterium modestum","P_Acridine",0.000648741434679423,0.94,-0.113260467778743,-0.00811172613100096,0.293333333333333,1
"g__Gemella_HROM_Genome_2693","s__Burkholderia contaminans","N_Uridine 5'-monophosphate",0.00154187916994379,0.94,-0.0814113855576604,0.00583256963207684,0.446666666666667,1
"s__Kingella_B oralis","s__Escherichia coli","P_2,6-Xylidine",0.000290531050171793,0.94,4.78097651461541e-05,0.00081289424197097,0.966666666666667,1
"s__Leptotrichia shahii","s__Escherichia coli","P_2-Aminobenzimidazole",0.00119969056990884,0.94,0.100921948329066,0.00250624236117452,0.166666666666667,1
"s__Streptococcus mitis_Q","s__Neisseria mucosa_A","P_4-Aminobenzoic acid",-3.77770118788132e-05,0.946666666666667,0.0100383115148705,0.00479736950495238,0.793333333333333,1
"s__Porphyromonas catoniae","s__Neisseria mucosa_A","P_4-Aminobenzoic acid",0.00120086176676709,0.946666666666667,-0.051904046065889,-0.00757822079863292,0.433333333333333,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","N_citramalic acid",-0.0013468933092279,0.946666666666667,0.278021785263912,0.00054253707194524,0.4,1
"g__Gemella_HROM_Genome_2689","s__Porphyromonas gingivalis","P_Oxolinic acid",0.0013207653413048,0.946666666666667,0.214364036996172,0.00330475602067125,0.186666666666667,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_Dexchlorpheniramine",-0.000269040739291891,0.953333333333333,0.379326638530751,0.000104246560626657,0.14,1
"s__Leptotrichia shahii","s__Escherichia coli","P_2,6-Xylidine",-0.000248792769887156,0.953333333333333,0.0257337948575101,0.0028160172883437,0.4,1
"g__JABCPO02_HROM_Genome_1961","s__Neisseria flavescens","P_Oxolinic acid",0.00340621034780099,0.953333333333333,-0.0143181339466453,0.00237750109919521,0.94,1
"s__Centipeda sp000318175","s__Cutibacterium modestum","P_4-Hexylaniline",-0.00031464419574083,0.96,-0.116204401499913,0.00225666249680977,0.253333333333333,1
"g__Leptotrichia_HROM_Genome_2872","s__Escherichia coli","N_(S)-LACTATE",0.00020480012452007,0.96,0.0204369551431162,0.00244906791222586,0.213333333333333,1
"g__Kingella_B_HROM_Genome_4817","s__Prevotella intermedia","P_N-Acetyltryptophan",0.00167993966925842,0.96,0.159648452105743,0.00384408992662284,0.426666666666667,1
