"feature","Genus","term","lfc","q","diff_abn"
"g__Rothia_HROM_Genome_0168","g__Rothia","Periodontitis",-0.00766844074889821,0.996384718877082,FALSE
"g__Rothia_HROM_Genome_0195","g__Rothia","Periodontitis",-0.954847090247377,0.487724909824003,FALSE
"g__Rothia_HROM_Genome_0196","g__Rothia","Periodontitis",-0.717386244078007,0.721470789551431,FALSE
"s__Rothia aeria","g__Rothia","Periodontitis",-0.109582821500634,0.98613227013856,FALSE
"s__Rothia dentocariosa","g__Rothia","Periodontitis",-0.588727716101511,0.737213585905188,FALSE
"s__Rothia mucilaginosa","g__Rothia","Periodontitis",-0.634993129404506,0.67812372286643,FALSE
"s__Rothia mucilaginosa_A","g__Rothia","Periodontitis",-1.90427745208753,0.314629570272167,FALSE
"s__Rothia mucilaginosa_B","g__Rothia","Periodontitis",-0.344348889070734,0.747204040527689,FALSE
"s__Rothia sp001808955","g__Rothia","Periodontitis",-0.659779223736962,0.653789663746039,FALSE
"s__Rothia sp015265375","g__Rothia","Periodontitis",-1.21596393093916,0.359263604032921,FALSE
"s__Rothia sp902373285","g__Rothia","Periodontitis",-0.854327047265795,0.551390050014732,FALSE
"g__Corynebacterium_HROM_Genome_0366","g__Corynebacterium","Periodontitis",-0.486177933015842,0.550824975474516,FALSE
"g__Corynebacterium_HROM_Genome_0379","g__Corynebacterium","Periodontitis",-0.0348176470969095,0.98613227013856,FALSE
"g__Corynebacterium_HROM_Genome_0380","g__Corynebacterium","Periodontitis",-0.0637837166427376,0.993205612069886,FALSE
"g__Corynebacterium_HROM_Genome_0382","g__Corynebacterium","Periodontitis",-0.868895680126958,0.376323216719165,FALSE
"s__Corynebacterium accolens","g__Corynebacterium","Periodontitis",-0.237038136106055,0.737213585905188,FALSE
"s__Corynebacterium argentoratense","g__Corynebacterium","Periodontitis",-0.707111183639003,0.554517687246784,FALSE
"s__Corynebacterium durum","g__Corynebacterium","Periodontitis",-0.692458864294622,0.667806944081249,FALSE
"s__Corynebacterium matruchotii","g__Corynebacterium","Periodontitis",-1.09721414783702,0.271248298088865,FALSE
"s__Corynebacterium propinquum","g__Corynebacterium","Periodontitis",-0.423765257379146,0.497754787309983,FALSE
"s__Lawsonella sp018376445","g__Lawsonella","Periodontitis",-0.0577497133545419,0.98133767629089,FALSE
"g__Arachnia_HROM_Genome_0390","g__Arachnia","Periodontitis",0.636711228337072,0.517847703106586,FALSE
"g__Arachnia_HROM_Genome_0393","g__Arachnia","Periodontitis",0.755973208629369,0.52203544648663,FALSE
"g__Arachnia_HROM_Genome_0394","g__Arachnia","Periodontitis",0.265848718565577,0.845906548531125,FALSE
"g__Arachnia_HROM_Genome_0395","g__Arachnia","Periodontitis",0.445306100122869,0.724124630405631,FALSE
"g__Arachnia_HROM_Genome_0396","g__Arachnia","Periodontitis",0.583481781099093,0.524165590440861,FALSE
"s__Arachnia propionica","g__Arachnia","Periodontitis",0.0370781035609235,0.993205612069886,FALSE
"s__Arachnia rubra","g__Arachnia","Periodontitis",-0.757989575777275,0.702747337675218,FALSE
"s__Arachnia sp013333945","g__Arachnia","Periodontitis",-0.0762357652214194,0.993205612069886,FALSE
"s__Arachnia sp900607225","g__Arachnia","Periodontitis",0.58640689983178,0.620070094186829,FALSE
"s__Arachnia sp905372155","g__Arachnia","Periodontitis",0.429316255512057,0.754164854609042,FALSE
"g__Brooklawnia_HROM_Genome_0402","g__Brooklawnia","Periodontitis",0.255890718496935,0.862675951424983,FALSE
"s__Brooklawnia sp000413315","g__Brooklawnia","Periodontitis",-0.168579004513802,0.860474558725023,FALSE
"s__Cutibacterium acnes","g__Cutibacterium","Periodontitis",-1.0298782350981,0.429489041402856,FALSE
"s__Cutibacterium avidum","g__Cutibacterium","Periodontitis",-0.611508095029556,0.306273938343778,FALSE
"s__Cutibacterium modestum","g__Cutibacterium","Periodontitis",-0.151855569788456,0.866351871793429,FALSE
"g__Fen-668_HROM_Genome_0397","g__Fen-668","Periodontitis",1.22878673316436,0.385536575404856,FALSE
"s__Propionibacterium acidifaciens","g__Propionibacterium","Periodontitis",0.452659679190671,0.845906548531125,FALSE
"g__Lancefieldella_HROM_Genome_0409","g__Lancefieldella","Periodontitis",0.0379157150122921,0.993205612069886,FALSE
"g__Lancefieldella_HROM_Genome_0430","g__Lancefieldella","Periodontitis",-0.0782656885419807,0.993205612069886,FALSE
"g__Lancefieldella_HROM_Genome_0436","g__Lancefieldella","Periodontitis",0.154678779488911,0.966893513152126,FALSE
"g__Lancefieldella_HROM_Genome_0437","g__Lancefieldella","Periodontitis",0.00160921311394635,0.999138771023159,FALSE
"g__Lancefieldella_HROM_Genome_0455","g__Lancefieldella","Periodontitis",-0.670466475765988,0.5793624660411,FALSE
"g__Lancefieldella_HROM_Genome_0463","g__Lancefieldella","Periodontitis",-0.325394075358234,0.781479471032991,FALSE
"g__Lancefieldella_HROM_Genome_0485","g__Lancefieldella","Periodontitis",0.346511119335958,0.874215356376922,FALSE
"g__Lancefieldella_HROM_Genome_0537","g__Lancefieldella","Periodontitis",-0.0370330431431977,0.993205612069886,FALSE
"g__Lancefieldella_HROM_Genome_0541","g__Lancefieldella","Periodontitis",-0.416248800007015,0.821022192567943,FALSE
"g__Lancefieldella_HROM_Genome_0557","g__Lancefieldella","Periodontitis",0.048012729637501,0.993205612069886,FALSE
"g__Lancefieldella_HROM_Genome_0605","g__Lancefieldella","Periodontitis",-0.23493956704095,0.759002035370357,FALSE
"g__Lancefieldella_HROM_Genome_0675","g__Lancefieldella","Periodontitis",-0.742099390441001,0.655448687562975,FALSE
"g__Lancefieldella_HROM_Genome_0702","g__Lancefieldella","Periodontitis",0.203648772187685,0.917767683852436,FALSE
"g__Lancefieldella_HROM_Genome_0711","g__Lancefieldella","Periodontitis",-0.383783498027509,0.76683071891956,FALSE
"g__Lancefieldella_HROM_Genome_0712","g__Lancefieldella","Periodontitis",0.139426303057552,0.979370786893461,FALSE
"g__Lancefieldella_HROM_Genome_0751","g__Lancefieldella","Periodontitis",0.0987964135950088,0.993205612069886,FALSE
"g__Lancefieldella_HROM_Genome_0761","g__Lancefieldella","Periodontitis",0.359888346480181,0.845906548531125,FALSE
"g__Lancefieldella_HROM_Genome_0811","g__Lancefieldella","Periodontitis",-0.599143380400054,0.737213585905188,FALSE
"g__Lancefieldella_HROM_Genome_0839","g__Lancefieldella","Periodontitis",0.954896031921888,0.622963658356444,FALSE
"g__Lancefieldella_HROM_Genome_0863","g__Lancefieldella","Periodontitis",0.846789057656598,0.598604150451881,FALSE
"g__Lancefieldella_HROM_Genome_0923","g__Lancefieldella","Periodontitis",1.50368252301026,0.364027197404956,FALSE
"s__Lancefieldella parvula","g__Lancefieldella","Periodontitis",-1.18778564352533,0.360133243979935,FALSE
"s__Lancefieldella sp000411555","g__Lancefieldella","Periodontitis",0.860811698083998,0.36593979683669,FALSE
"s__Lancefieldella sp000564995","g__Lancefieldella","Periodontitis",-0.608617314023827,0.788904689895928,FALSE
"s__Lancefieldella sp015258485","g__Lancefieldella","Periodontitis",-0.7460131745636,0.469338516093877,FALSE
"s__Lancefieldella sp015258715","g__Lancefieldella","Periodontitis",0.0655214514771481,0.993205612069886,FALSE
"s__Lancefieldella sp015259045","g__Lancefieldella","Periodontitis",-0.725299431011777,0.612952297163234,FALSE
"s__Olegusella sp000466405","g__Olegusella","Periodontitis",0.861359287714177,0.321577550438339,FALSE
"s__Olsenella uli","g__Olsenella","Periodontitis",0.57670918975704,0.613023317699558,FALSE
"g__Olsenella_F_HROM_Genome_0958","g__Olsenella_F","Periodontitis",-0.366758559279113,0.747204040527689,FALSE
"g__Olsenella_F_HROM_Genome_0959","g__Olsenella_F","Periodontitis",-0.835060971667447,0.376323216719165,FALSE
