"comparison","feature","Genus","LDA","enriched_in"
"N vs P","g__Treponema_B_HROM_Genome_5024","g__Treponema_B",2.215312684518,"P"
"N vs P","g__RGIG8124_HROM_Genome_1665","g__RGIG8124",2.22099792017518,"P"
"N vs P","s__Campylobacter_A rectus","g__Campylobacter_A",2.22631360485452,"P"
"N vs P","s__Arachnia sp905372155","g__Arachnia",2.23240156858428,"P"
"N vs P","g__Treponema_HROM_Genome_5054","g__Treponema",2.23302677914224,"P"
"N vs P","g__Johnsonella_HROM_Genome_1709","g__Johnsonella",2.23363084767866,"P"
"N vs P","s__Treponema medium","g__Treponema",2.25485199897648,"P"
"N vs P","o__Saccharimonadales_HROM_Genome_3876","g__",2.26445864495607,"P"
"N vs P","g__CAJPSE01_HROM_Genome_5102","g__CAJPSE01",2.26465041022766,"P"
"N vs P","s__CAJPNX01 sp905372165","g__CAJPNX01",2.26716190811021,"P"
"N vs P","g__Treponema_B_HROM_Genome_5029","g__Treponema_B",2.27060177181853,"P"
"N vs P","g__Nanogingivalis_HROM_Genome_3846","g__Nanogingivalis",2.28130878072572,"P"
"N vs P","g__Porphyromonas_HROM_Genome_1133","g__Porphyromonas",2.29202535260643,"P"
"N vs P","s__Peptostreptococcus stomatis","g__Peptostreptococcus",2.29332809459886,"P"
"N vs P","g__Tannerella_HROM_Genome_1115","g__Tannerella",2.30146202632726,"P"
"N vs P","s__GN02-873 sp013332525","g__GN02-873",2.30759355086734,"P"
"N vs P","g__Endomicrobium_HROM_Genome_1659","g__Endomicrobium",2.30891096219983,"P"
"N vs P","s__Fusobacterium nucleatum","g__Fusobacterium",2.3090175086234,"P"
"N vs P","g__Campylobacter_B_HROM_Genome_1368","g__Campylobacter_B",2.31168193225799,"P"
"N vs P","g__Capnocytophaga_HROM_Genome_1219","g__Capnocytophaga",2.31767416445246,"P"
"N vs P","g__RGIG8124_HROM_Genome_1664","g__RGIG8124",2.32642848123675,"P"
"N vs P","o__Saccharimonadales_HROM_Genome_3872","g__",2.33713539481952,"P"
"N vs P","s__Treponema sp010365865","g__Treponema",2.34019526357828,"P"
"N vs P","s__Mogibacterium timidum","g__Mogibacterium",2.34203720114913,"P"
"N vs P","g__Treponema_B_HROM_Genome_5023","g__Treponema_B",2.35562123119262,"P"
"N vs P","g__Treponema_HROM_Genome_5035","g__Treponema",2.35833739497966,"P"
"N vs P","g__Prevotella_HROM_Genome_1016","g__Prevotella",2.36620712127571,"P"
"N vs P","g__Cryptobacteroides_HROM_Genome_0963","g__Cryptobacteroides",2.38213675347267,"P"
"N vs P","g__Limimorpha_HROM_Genome_1083","g__Limimorpha",2.42625937219347,"P"
"N vs P","s__Eubacterium_M brachy","g__Eubacterium_M",2.43374702635458,"P"
"N vs P","g__Treponema_HROM_Genome_5049","g__Treponema",2.44925819186352,"P"
"N vs P","g__Nanogingivalis_HROM_Genome_3842","g__Nanogingivalis",2.45387375642792,"P"
"N vs P","g__Treponema_C_HROM_Genome_5071","g__Treponema_C",2.45587684044269,"P"
"N vs P","g__HOT-345_HROM_Genome_2915","g__HOT-345",2.46348430002367,"P"
"N vs P","s__Bacteroides_D sp905373475","g__Bacteroides_D",2.47983165952368,"P"
"N vs P","s__Gemella haemolysans_A","g__Gemella",2.50814748859227,"P"
"N vs P","g__Treponema_D_HROM_Genome_5068","g__Treponema_D",2.51460011893951,"P"
"N vs P","g__Treponema_D_HROM_Genome_5067","g__Treponema_D",2.51855388436544,"P"
"N vs P","g__Treponema_HROM_Genome_5043","g__Treponema",2.5201038710387,"P"
"N vs P","g__Treponema_HROM_Genome_5041","g__Treponema",2.52725650624814,"P"
"N vs P","s__Prevotella intermedia","g__Prevotella",2.529203926981,"P"
"N vs P","s__Capnocytophaga bilenii","g__Capnocytophaga",2.53464873885666,"P"
"N vs P","s__Treponema sp905373565","g__Treponema",2.55889104146554,"P"
"N vs P","s__Treponema_B sp905372345","g__Treponema_B",2.56373973252249,"P"
"N vs P","g__Treponema_D_HROM_Genome_5066","g__Treponema_D",2.60360531725454,"P"
"N vs P","s__Gemella morbillorum","g__Gemella",2.63189752405901,"P"
"N vs P","s__Treponema_D sp905372235","g__Treponema_D",2.64638367890851,"P"
"N vs P","g__Treponema_B_HROM_Genome_5027","g__Treponema_B",2.65550549872484,"P"
"N vs P","g__Metamycoplasma_HROM_Genome_2646","g__Metamycoplasma",2.67060822145324,"P"
"N vs P","s__Treponema sp905372265","g__Treponema",2.67469925364707,"P"
"N vs P","g__Cryptobacteroides_HROM_Genome_1021","g__Cryptobacteroides",2.67919147265378,"P"
"N vs P","s__HOT-345 sp003260355","g__HOT-345",2.68383948149521,"P"
"N vs P","s__Capnocytophaga leadbetteri","g__Capnocytophaga",2.69940644626988,"P"
"N vs P","s__Hornefia nodata","g__Hornefia",2.70061306412454,"P"
"N vs P","s__HOT-345 sp013333605","g__HOT-345",2.73540589616357,"P"
"N vs P","s__Treponema_B denticola","g__Treponema_B",2.73590376620744,"P"
"N vs P","g__Treponema_HROM_Genome_5046","g__Treponema",2.74379018232674,"P"
"N vs P","s__Fusobacterium nucleatum_J","g__Fusobacterium",2.75575500404508,"P"
"N vs P","s__Bergeyella_A cardium","g__Bergeyella_A",2.75789706821589,"P"
"N vs P","s__Filifactor alocis","g__Filifactor",2.79244203732703,"P"
"N vs P","s__GN02-873 sp003260345","g__GN02-873",2.80674945530239,"P"
"N vs P","s__Eubacterium_N saphenum","g__Eubacterium_N",2.86812304971799,"P"
"N vs P","s__Tannerella forsythia","g__Tannerella",3.07344420632776,"P"
"N vs P","g__Porphyromonas_HROM_Genome_1125","g__Porphyromonas",3.12064361062125,"P"
"N vs P","g__HOT-345_HROM_Genome_2914","g__HOT-345",3.141678691023,"P"
"N vs P","s__Prevotella sp905372445","g__Prevotella",3.20568559366662,"P"
"N vs P","s__Porphyromonas gingivalis","g__Porphyromonas",3.49053266594586,"P"
"N vs P","s__Porphyromonas endodontalis","g__Porphyromonas",3.54907863676749,"P"
"P vs PD","s__Paraclostridium bifermentans","g__Paraclostridium",-4.5184171825944,"P"
"P vs PD","g__Streptococcus_HROM_Genome_2214","g__Streptococcus",-3.94689719313356,"P"
"P vs PD","s__Streptococcus sp901875575","g__Streptococcus",-3.66741728516241,"P"
"P vs PD","s__Haemophilus_A parahaemolyticus","g__Haemophilus_A",-3.2299550838578,"P"
"P vs PD","s__Aggregatibacter sp000466335","g__Aggregatibacter",-3.1092332083653,"P"
"P vs PD","s__Nanosynbacter sp007845355","g__Nanosynbacter",-3.10416896091514,"P"
"P vs PD","s__Prevotella shahii","g__Prevotella",-3.07510365314553,"P"
"P vs PD","s__Nanosynbacter sp900556355","g__Nanosynbacter",-2.97780233645592,"P"
"P vs PD","s__Aggregatibacter aphrophilus","g__Aggregatibacter",-2.93057052038945,"P"
"P vs PD","g__Bergeyella_A_HROM_Genome_1209","g__Bergeyella_A",-2.91963192918019,"P"
"P vs PD","s__Alloprevotella sp900095835","g__Alloprevotella",-2.90500782516039,"P"
"P vs PD","s__Haemophilus_A paraphrohaemolyticus","g__Haemophilus_A",-2.81010040848278,"P"
"P vs PD","s__Aggregatibacter segnis","g__Aggregatibacter",-2.8091719565962,"P"
"P vs PD","g__Treponema_HROM_Genome_5041","g__Treponema",-2.7428660390597,"P"
"P vs PD","s__Fusobacterium nucleatum_J","g__Fusobacterium",-2.66303158122878,"P"
"P vs PD","s__F0058 sp905372135","g__F0058",-2.66263601027115,"P"
"P vs PD","g__GCA-2749205_HROM_Genome_5100","g__GCA-2749205",-2.62146134960529,"P"
"P vs PD","s__F0058 sp000163695","g__F0058",-2.61916538610132,"P"
"P vs PD","s__Haemophilus haemolyticus","g__Haemophilus",-2.61101083060869,"P"
"P vs PD","s__Arachnia rubra","g__Arachnia",-2.60172763698259,"P"
"P vs PD","g__Gemella_HROM_Genome_2686","g__Gemella",-2.52370277910821,"P"
"P vs PD","s__Prevotella conceptionensis","g__Prevotella",-2.52156295172604,"P"
"P vs PD","s__Treponema sp905373565","g__Treponema",-2.50678606073897,"P"
"P vs PD","g__Treponema_D_HROM_Genome_5066","g__Treponema_D",-2.49886675177062,"P"
"P vs PD","g__Treponema_D_HROM_Genome_5067","g__Treponema_D",-2.4926828663009,"P"
"P vs PD","s__JABZIP01 sp015258265","g__JABZIP01",-2.48837702974503,"P"
"P vs PD","s__Treponema sp010365865","g__Treponema",-2.39446265243015,"P"
"P vs PD","s__Leptotrichia sp000469385","g__Leptotrichia",-2.39051771523782,"P"
"P vs PD","s__Aggregatibacter kilianii","g__Aggregatibacter",-2.37108828716104,"P"
"P vs PD","s__Mesocricetibacter sp905373425","g__Mesocricetibacter",-2.36407065081873,"P"
"P vs PD","s__Bacteroides_D sp013333195","g__Bacteroides_D",-2.33606361492327,"P"
"P vs PD","s__F0058 sp905372605","g__F0058",-2.31868259231721,"P"
"P vs PD","g__CAJPSE01_HROM_Genome_5102","g__CAJPSE01",-2.31279415073757,"P"
"P vs PD","g__Campylobacter_A_HROM_Genome_1597","g__Campylobacter_A",-2.30716011424984,"P"
"P vs PD","g__CAJPSE01_HROM_Genome_5103","g__CAJPSE01",-2.29494266687083,"P"
"P vs PD","g__Treponema_HROM_Genome_5035","g__Treponema",-2.2918540177982,"P"
"P vs PD","g__Tannerella_HROM_Genome_1115","g__Tannerella",-2.26248395006482,"P"
"P vs PD","s__Haemophilus_A parahaemolyticus_A","g__Haemophilus_A",-2.17760206271655,"P"
"P vs PD","s__Prevotella sp018127805","g__Prevotella",-2.16481535656286,"P"
"P vs PD","g__Streptococcus_HROM_Genome_2389","g__Streptococcus",-2.16086141353319,"P"
"P vs PD","g__Treponema_B_HROM_Genome_5029","g__Treponema_B",-2.1575469664183,"P"
"P vs PD","s__Treponema medium","g__Treponema",-2.14697378253749,"P"
"P vs PD","g__Aggregatibacter_HROM_Genome_4966","g__Aggregatibacter",-2.11221871864266,"P"
"P vs PD","s__Gemella haemolysans_B","g__Gemella",-2.09435964778058,"P"
"P vs PD","g__Alloprevotella_HROM_Genome_1039","g__Alloprevotella",-2.09344983147857,"P"
"P vs PD","s__Leptotrichia_A sp905371725","g__Leptotrichia_A",-2.09005624090388,"P"
"P vs PD","g__Neisseria_HROM_Genome_4852","g__Neisseria",-2.07507956178847,"P"
"P vs PD","s__Alloprevotella tannerae_A","g__Alloprevotella",-2.07488098299303,"P"
"P vs PD","s__Leptotrichia hongkongensis","g__Leptotrichia",-2.06577243348324,"P"
"P vs PD","g__HOT-345_HROM_Genome_2926","g__HOT-345",-2.0650716222212,"P"
"P vs PD","g__Treponema_D_HROM_Genome_5064","g__Treponema_D",-2.05230238895676,"P"
"P vs PD","s__Alloprevotella sp003639005","g__Alloprevotella",-2.04199022232598,"P"
"P vs PD","g__Haemophilus_A_HROM_Genome_4931","g__Haemophilus_A",-2.02003955531021,"P"
"P vs PD","s__Treponema vincentii","g__Treponema",-2.00652305614488,"P"
"P vs PD","s__Streptococcus constellatus","g__Streptococcus",2.12297555008602,"PD"
"P vs PD","s__CAG-793 sp013333035","g__CAG-793",2.14934032663528,"PD"
"P vs PD","s__Oribacterium asaccharolyticum","g__Oribacterium",2.18077580431621,"PD"
"P vs PD","g__Granulicatella_HROM_Genome_2603","g__Granulicatella",2.3169288719083,"PD"
"P vs PD","s__Stomatobaculum longum","g__Stomatobaculum",2.33647869908011,"PD"
"P vs PD","s__Granulicatella sp900551535","g__Granulicatella",2.36908228537649,"PD"
"P vs PD","g__Streptococcus_HROM_Genome_2324","g__Streptococcus",2.55892252920934,"PD"
"P vs PD","s__Rothia mucilaginosa_A","g__Rothia",2.96107061060523,"PD"
"P vs PD","s__Oribacterium sinus","g__Oribacterium",3.19059343104363,"PD"
"P vs PD","s__Rothia sp001808955","g__Rothia",3.42086146042724,"PD"
"P vs PD","s__Rothia mucilaginosa_B","g__Rothia",3.42380619981554,"PD"
"P vs PC","s__Paraclostridium bifermentans","g__Paraclostridium",-4.48068942904198,"P"
"P vs PC","g__Streptococcus_HROM_Genome_2214","g__Streptococcus",-3.94814222255083,"P"
"P vs PC","s__Porphyromonas endodontalis","g__Porphyromonas",-3.45697963490336,"P"
"P vs PC","s__Veillonella parvula_A","g__Veillonella",-2.98232708566687,"P"
"P vs PC","s__Tannerella forsythia","g__Tannerella",-2.95614691678554,"P"
"P vs PC","s__Prevotella loescheii","g__Prevotella",-2.8715718823611,"P"
"P vs PC","s__Eubacterium_N saphenum","g__Eubacterium_N",-2.79544537177198,"P"
"P vs PC","s__Streptococcus oralis_BC","g__Streptococcus",-2.76360265369329,"P"
"P vs PC","s__Rothia aeria","g__Rothia",-2.72008967623976,"P"
"P vs PC","s__Actinomyces oris","g__Actinomyces",-2.70869975841298,"P"
"P vs PC","s__Porphyromonas catoniae","g__Porphyromonas",-2.58515937446538,"P"
"P vs PC","s__Aggregatibacter actinomycetemcomitans","g__Aggregatibacter",-2.5838644690778,"P"
"P vs PC","s__Filifactor alocis","g__Filifactor",-2.57943254585748,"P"
"P vs PC","s__Arachnia rubra","g__Arachnia",-2.53498333186739,"P"
"P vs PC","g__Veillonella_HROM_Genome_2827","g__Veillonella",-2.53396571106984,"P"
"P vs PC","s__Actinomyces oris_E","g__Actinomyces",-2.51218778638533,"P"
"P vs PC","s__Bacteroides_D sp905373475","g__Bacteroides_D",-2.46024392954854,"P"
"P vs PC","s__Prevotella conceptionensis","g__Prevotella",-2.43869166274398,"P"
"P vs PC","s__Mogibacterium timidum","g__Mogibacterium",-2.42437693177518,"P"
"P vs PC","s__Treponema sp905372265","g__Treponema",-2.40539864964951,"P"
"P vs PC","g__Streptococcus_HROM_Genome_2185","g__Streptococcus",-2.38763743622487,"P"
"P vs PC","s__Prevotella pleuritidis","g__Prevotella",-2.37774456950922,"P"
"P vs PC","s__Streptococcus sanguinis","g__Streptococcus",-2.37612615181062,"P"
"P vs PC","s__Eubacterium_M brachy","g__Eubacterium_M",-2.3304770430686,"P"
"P vs PC","s__Veillonella sp900757715","g__Veillonella",-2.3121532179841,"P"
"P vs PC","g__CAJPSE01_HROM_Genome_5102","g__CAJPSE01",-2.29571275338012,"P"
"P vs PC","g__Treponema_B_HROM_Genome_5023","g__Treponema_B",-2.2655594553712,"P"
"P vs PC","g__CAJPSE01_HROM_Genome_5103","g__CAJPSE01",-2.26096476722004,"P"
"P vs PC","s__Kingella_B oralis","g__Kingella_B",-2.25204023886128,"P"
"P vs PC","s__Treponema sp905373565","g__Treponema",-2.25101525560194,"P"
"P vs PC","g__Streptococcus_HROM_Genome_2390","g__Streptococcus",-2.24355012648941,"P"
"P vs PC","s__Fusobacterium nucleatum","g__Fusobacterium",-2.22409537746567,"P"
"P vs PC","g__Actinomyces_HROM_Genome_0328","g__Actinomyces",-2.22320753482047,"P"
"P vs PC","g__Porphyromonas_HROM_Genome_1133","g__Porphyromonas",-2.18715866878015,"P"
"P vs PC","s__Streptococcus sanguinis_C","g__Streptococcus",-2.18131277153326,"P"
"P vs PC","s__Cardiobacterium hominis","g__Cardiobacterium",-2.16475959711117,"P"
"P vs PC","g__Treponema_B_HROM_Genome_5024","g__Treponema_B",-2.16312525382873,"P"
"P vs PC","s__Alloprevotella sp003639005","g__Alloprevotella",-2.15774549759541,"P"
"P vs PC","s__Peptidiphaga sp000466165","g__Peptidiphaga",-2.14894333046943,"P"
"P vs PC","s__Arachnia sp905372155","g__Arachnia",-2.14630245934998,"P"
"P vs PC","s__Actinomyces massiliensis","g__Actinomyces",-2.13217034186631,"P"
"P vs PC","s__Pauljensenia odontolytica_B","g__Pauljensenia",-2.12250247750948,"P"
"P vs PC","g__Cardiobacterium_HROM_Genome_4916","g__Cardiobacterium",-2.10585535617882,"P"
"P vs PC","g__W11650_HROM_Genome_1879","g__W11650",-2.06144069259594,"P"
"P vs PC","g__Johnsonella_HROM_Genome_1709","g__Johnsonella",-2.05801645593479,"P"
"P vs PC","g__Actinomyces_HROM_Genome_0335","g__Actinomyces",-2.03813884488973,"P"
"P vs PC","s__Fretibacterium fastidiosum","g__Fretibacterium",-2.02121562539912,"P"
"P vs PC","g__Alloprevotella_HROM_Genome_1039","g__Alloprevotella",-2.01276419998948,"P"
"P vs PC","g__Granulicatella_HROM_Genome_2610","g__Granulicatella",2.00003531945578,"PC"
"P vs PC","g__JABCPE02_HROM_Genome_1202","g__JABCPE02",2.0025271336161,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2603","g__Granulicatella",2.00982337799153,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2591","g__Granulicatella",2.02838138248573,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2332","g__Streptococcus",2.035748998407,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2592","g__Granulicatella",2.05650950591178,"PC"
"P vs PC","s__Streptococcus sp003428885","g__Streptococcus",2.0635326149546,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2627","g__Granulicatella",2.11178062757945,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2585","g__Granulicatella",2.11991972053964,"PC"
"P vs PC","s__Streptococcus mitis_AK","g__Streptococcus",2.14758768113117,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2093","g__Streptococcus",2.16614638176407,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2612","g__Granulicatella",2.22580784873915,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2293","g__Streptococcus",2.24510718497198,"PC"
"P vs PC","g__Nanoperiomorbus_HROM_Genome_3111","g__Nanoperiomorbus",2.25466598984064,"PC"
"P vs PC","g__Abiotrophia_HROM_Genome_2562","g__Abiotrophia",2.26620637139712,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2099","g__Streptococcus",2.27351486358521,"PC"
"P vs PC","s__CAG-793 sp013333035","g__CAG-793",2.29999049671704,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2111","g__Streptococcus",2.30286424495974,"PC"
"P vs PC","s__Streptococcus cristatus_C","g__Streptococcus",2.36119323714671,"PC"
"P vs PC","s__Streptococcus xiaochunlingii","g__Streptococcus",2.40717256280824,"PC"
"P vs PC","g__JABCPO02_HROM_Genome_1959","g__JABCPO02",2.41020961899359,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2397","g__Streptococcus",2.41961469663664,"PC"
"P vs PC","g__Veillonella_HROM_Genome_2842","g__Veillonella",2.43918252112313,"PC"
"P vs PC","s__Streptococcus mitis_BK","g__Streptococcus",2.44343814384095,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2607","g__Granulicatella",2.44637452708163,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2601","g__Granulicatella",2.50023963657288,"PC"
"P vs PC","g__Granulicatella_HROM_Genome_2598","g__Granulicatella",2.51727960257901,"PC"
"P vs PC","s__Streptococcus mitis_AZ","g__Streptococcus",2.6293059903948,"PC"
"P vs PC","s__Nanogingivalis sp015257795","g__Nanogingivalis",2.74239628623618,"PC"
"P vs PC","g__Streptococcus_HROM_Genome_2252","g__Streptococcus",2.77657606383586,"PC"
"P vs PC","s__Neisseria polysaccharea","g__Neisseria",2.80651700556718,"PC"
"P vs PC","s__Neisseria cinerea","g__Neisseria",2.92562081659932,"PC"
"P vs PC","s__Streptococcus rubneri","g__Streptococcus",2.9949233235516,"PC"
"P vs PC","s__Bergeyella_A cardium","g__Bergeyella_A",3.13111678047795,"PC"
"P vs PC","g__Capnocytophaga_HROM_Genome_1217","g__Capnocytophaga",3.24371308224091,"PC"
"P vs PC","s__Rothia mucilaginosa_B","g__Rothia",3.26593569762585,"PC"
"P vs PC","s__Neisseria flavescens","g__Neisseria",3.35361870120409,"PC"
"P vs PC","g__Neisseria_HROM_Genome_4837","g__Neisseria",3.37150578888966,"PC"
"P vs PC","s__Neisseria subflava","g__Neisseria",3.67492326186451,"PC"
"PD vs PCD","s__Oribacterium sinus","g__Oribacterium",-3.23853010595985,"PD"
"PD vs PCD","s__Saccharimonas sp010202265","g__Saccharimonas",-2.94292051408637,"PD"
"PD vs PCD","s__Streptococcus oralis_BC","g__Streptococcus",-2.81437416842745,"PD"
"PD vs PCD","s__Veillonella parvula_A","g__Veillonella",-2.79051725808014,"PD"
"PD vs PCD","s__Streptococcus infantis_B","g__Streptococcus",-2.36437744139092,"PD"
"PD vs PCD","g__Streptococcus_HROM_Genome_2355","g__Streptococcus",-2.32424460322826,"PD"
"PD vs PCD","s__Granulicatella sp900551535","g__Granulicatella",-2.26904764783342,"PD"
"PD vs PCD","s__Oribacterium asaccharolyticum","g__Oribacterium",-2.25868027850653,"PD"
"PD vs PCD","g__Oribacterium_HROM_Genome_1757","g__Oribacterium",-2.09948350752863,"PD"
"PD vs PCD","s__Catonella massiliensis","g__Catonella",-2.04978046240089,"PD"
"PD vs PCD","s__Bulleidia extructa","g__Bulleidia",-2.00608125612929,"PD"
"PD vs PCD","s__Streptococcus mitis_J","g__Streptococcus",2.00669626847669,"PCD"
"PD vs PCD","g__Granulicatella_HROM_Genome_2610","g__Granulicatella",2.01217292220015,"PCD"
"PD vs PCD","g__Streptococcus_HROM_Genome_2342","g__Streptococcus",2.0233323917836,"PCD"
"PD vs PCD","g__Granulicatella_HROM_Genome_2591","g__Granulicatella",2.02826906072056,"PCD"
"PD vs PCD","g__Leptotrichia_HROM_Genome_2872","g__Leptotrichia",2.05066808496108,"PCD"
"PD vs PCD","s__Capnocytophaga sp002999135","g__Capnocytophaga",2.06111334753553,"PCD"
"PD vs PCD","s__Johnsonella sp905373785","g__Johnsonella",2.07680459844994,"PCD"
"PD vs PCD","s__Haemophilus_A parahaemolyticus_A","g__Haemophilus_A",2.0945513395219,"PCD"
"PD vs PCD","g__Porphyromonas_HROM_Genome_1102","g__Porphyromonas",2.09896838693391,"PCD"
"PD vs PCD","g__Streptococcus_HROM_Genome_2469","g__Streptococcus",2.12562765666603,"PCD"
"PD vs PCD","s__Campylobacter_A sp905372745","g__Campylobacter_A",2.14008922426636,"PCD"
"PD vs PCD","g__Granulicatella_HROM_Genome_2574","g__Granulicatella",2.14009550146771,"PCD"
"PD vs PCD","s__Rodentibacter sp901420285","g__Rodentibacter",2.16327299768641,"PCD"
"PD vs PCD","s__Leptotrichia_A sp905371725","g__Leptotrichia_A",2.17976953970654,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1187","g__JABCPE02",2.19123348442851,"PCD"
"PD vs PCD","s__Neisseria sp002237445","g__Neisseria",2.20036871220231,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1196","g__JABCPE02",2.20541613512524,"PCD"
"PD vs PCD","g__Ottowia_HROM_Genome_4903","g__Ottowia",2.20829435075383,"PCD"
"PD vs PCD","s__Leptotrichia trevisanii","g__Leptotrichia",2.2239987611709,"PCD"
"PD vs PCD","s__Leptotrichia sp000469385","g__Leptotrichia",2.26677358382406,"PCD"
"PD vs PCD","s__Streptococcus cristatus_B","g__Streptococcus",2.28608479864557,"PCD"
"PD vs PCD","g__Ottowia_HROM_Genome_4905","g__Ottowia",2.29034932326221,"PCD"
"PD vs PCD","g__Streptococcus_HROM_Genome_2191","g__Streptococcus",2.29405743502264,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1206","g__JABCPE02",2.29889170964737,"PCD"
"PD vs PCD","g__Gemella_HROM_Genome_2686","g__Gemella",2.31237609110756,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1204","g__JABCPE02",2.31759170076076,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1202","g__JABCPE02",2.31986686087905,"PCD"
"PD vs PCD","s__F0058 sp905372605","g__F0058",2.34391826566542,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1201","g__JABCPE02",2.35067996503452,"PCD"
"PD vs PCD","g__Gemella_HROM_Genome_2692","g__Gemella",2.35181631610578,"PCD"
"PD vs PCD","s__Eikenella corrodens_B","g__Eikenella",2.35627393274593,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1185","g__JABCPE02",2.36725105715031,"PCD"
"PD vs PCD","s__Haemophilus_A paraphrohaemolyticus","g__Haemophilus_A",2.37449911659728,"PCD"
"PD vs PCD","s__Neisseria meningitidis","g__Neisseria",2.38228363751045,"PCD"
"PD vs PCD","g__Granulicatella_HROM_Genome_2601","g__Granulicatella",2.39315105817737,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1203","g__JABCPE02",2.40551871156188,"PCD"
"PD vs PCD","g__Prevotella_HROM_Genome_1003","g__Prevotella",2.41561475784361,"PCD"
"PD vs PCD","s__F0058 sp905372135","g__F0058",2.42795938363208,"PCD"
"PD vs PCD","g__Abiotrophia_HROM_Genome_2562","g__Abiotrophia",2.42943810572945,"PCD"
"PD vs PCD","s__Kingella kingae","g__Kingella",2.43191240089854,"PCD"
"PD vs PCD","g__Kingella_A_HROM_Genome_4854","g__Kingella_A",2.47338594241512,"PCD"
"PD vs PCD","g__Campylobacter_A_HROM_Genome_1598","g__Campylobacter_A",2.47705689912992,"PCD"
"PD vs PCD","g__Gemella_HROM_Genome_2673","g__Gemella",2.48159308998709,"PCD"
