feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F1113	Periodontitis	Periodontitis	4.23550003169862	1.15223409944591	101	79	0.000392384483322092	0.0598134808551241
F795	Sex	M	1.93751222925774	0.531299497828531	101	99	0.000433504423824451	0.0605508728997458
F906	KidneyDisease	KidneyDisease	2.33145289752711	0.639851628292624	101	56	0.000437962579426253	0.0605508728997458
F1119	Periodontitis	Periodontitis	3.05426403429947	0.837228461035387	101	80	0.000431553266602807	0.0605508728997458
F1121	Periodontitis	Periodontitis	2.78866221952524	0.763385138581274	101	63	0.000424318603406893	0.0605508728997458
F1131	Sex	M	1.7544385423042	0.482692871821577	101	98	0.000451667210662866	0.0610263992588804
F371	Age	Age	0.0653051808544747	0.0180462126705762	101	92	0.000476755705028296	0.0625332596570013
F898	Sex	M	-1.98151004901379	0.548224369220374	101	88	0.00048385701332583	0.0625332596570013
F46	Diabetes	Diabetes	-2.33731086786558	0.649901204379157	101	92	0.000514254004113699	0.0636925011344988
F942	KidneyDisease	KidneyDisease	2.5355427160097	0.704823639637174	101	63	0.000512510878465618	0.0636925011344988
F167	Age	Age	0.0509846788202539	0.0143623041539701	101	101	0.000601367388624558	0.0667719558210318
F191	Age	Age	0.0661299214666674	0.0185718441648325	101	100	0.00057984738333326	0.0667719558210318
F208	Sex	M	1.76738132209154	0.495501309088675	101	33	0.000568102326510442	0.0667719558210318
F239	Periodontitis	Periodontitis	5.16056380419842	1.45701587421075	101	60	0.000617738867982632	0.0667719558210318
F351	Periodontitis	Periodontitis	3.79460862898865	1.06839437951441	101	84	0.000597756721027927	0.0667719558210318
F1134	Sex	M	1.62876169673209	0.456070898158147	101	99	0.000559693781806675	0.0667719558210318
F1153	KidneyDisease	KidneyDisease	-1.6893697378146	0.476866359581301	101	101	0.000616137009669569	0.0667719558210318
F90	Sex	M	1.80825322404182	0.512329106512682	101	28	0.00064386320803845	0.0671538030138348
F643	KidneyDisease	KidneyDisease	-2.19889843138949	0.622396695492746	101	101	0.000636431348769617	0.0671538030138348
F606	KidneyDisease	KidneyDisease	-1.87957266943672	0.537561166301876	101	91	0.000718576327677456	0.0736540735869393
F1016	KidneyDisease	KidneyDisease	2.90855322124416	0.837039199412348	101	72	0.000772020351962206	0.0777908642782257
F29	Sex	M	1.41470313041065	0.408802933176115	101	53	0.000809082465633673	0.0798038651125681
F577	Age	Age	0.109051929349833	0.0315907864563761	101	54	0.000832269072662611	0.0798038651125681
F1117	Sex	M	1.48102414268944	0.428586809432799	101	101	0.000822516428565772	0.0798038651125681
F375	KidneyDisease	KidneyDisease	2.28524145377957	0.663038644625475	101	80	0.000847172231251051	0.0799434748378968
F1138	Sex	M	1.76816662746484	0.516323229462355	101	98	0.000910800914860577	0.0846048662319708
F765	Periodontitis	Periodontitis	-2.42909026342054	0.710697901826498	101	85	0.00093079492736522	0.085131936049019
F302	KidneyDisease	KidneyDisease	1.80971165765338	0.53225398897154	101	91	0.000986461961298035	0.0875300949241316
F1135	Periodontitis	Periodontitis	2.47130729799346	0.726214496687471	101	96	0.00097715810879829	0.0875300949241316
F350	Periodontitis	Periodontitis	2.50675811326537	0.742246615369651	101	61	0.00106244077598514	0.088674102114649
F418	Age	Age	0.0799797519293221	0.0236816753586706	101	69	0.00106234899501038	0.088674102114649
F792	Sex	M	1.71989746732265	0.509759591676369	101	100	0.00107393361686371	0.088674102114649
F1108	Periodontitis	Periodontitis	2.85389353777666	0.84444002798596	101	77	0.00105430320355362	0.088674102114649
F1171	Periodontitis	Periodontitis	-3.39948283447954	1.007222975534	101	42	0.00106988275831966	0.088674102114649
F94	KidneyDisease	KidneyDisease	3.60852725192978	1.08809155826237	101	90	0.00129275839489295	0.0904397006348415
F171	Age	Age	0.0409584429096009	0.0123506305752514	101	101	0.00129308234717603	0.0904397006348415
F187	KidneyDisease	KidneyDisease	-2.50318831870525	0.748600868540758	101	100	0.00118367895791285	0.0904397006348415
F356	Diabetes	Diabetes	-3.34545517509656	1.00568700979713	101	76	0.00125133561981737	0.0904397006348415
F371	Periodontitis	Periodontitis	-2.22977726758136	0.670830395326072	101	92	0.00126194628768599	0.0904397006348415
F427	Age	Age	0.0458197280107506	0.0137903548198783	101	11	0.00126727609267694	0.0904397006348415
F591	KidneyDisease	KidneyDisease	2.42607604596042	0.730191266369854	101	100	0.00126756505432991	0.0904397006348415
F607	KidneyDisease	KidneyDisease	-2.2243139952009	0.666265903615432	101	100	0.00120422221776727	0.0904397006348415
F746	Age	Age	0.0828136698578532	0.0249475876714533	101	54	0.00127988014354736	0.0904397006348415
F777	Sex	M	1.67778554729454	0.504707285549888	101	70	0.00126045572671154	0.0904397006348415
F782	Age	Age	0.0645689344694486	0.0192122915236904	101	82	0.00112053045066676	0.0904397006348415
F1109	Periodontitis	Periodontitis	2.37158370380226	0.713734409286416	101	47	0.00126650638122792	0.0904397006348415
F1128	Periodontitis	Periodontitis	4.57686439282348	1.36933229150508	101	94	0.00118909114627002	0.0904397006348415
F254	Periodontitis	Periodontitis	3.14169907910948	0.956009891717497	101	93	0.00142330430734582	0.0983900477578011
F193	Age	Age	0.058850098442147	0.0179640104467247	101	99	0.00147053291651914	0.100486415962141
F241	Sex	M	1.80038158516016	0.551501660426033	101	97	0.00152516135198055	0.102273237425558
F653	Sex	M	0.881862880436308	0.270237818278115	101	12	0.00153108799510087	0.102273237425558
F264	Periodontitis	Periodontitis	2.43675547631785	0.748108101372487	101	70	0.00156076487499416	0.102388349292181
F656	Sex	M	2.43993859459937	0.74938705483367	101	101	0.00156725648201657	0.102388349292181
F746	Sex	M	2.0621751409662	0.635028365396372	101	54	0.0016101408881422	0.103419596229909
F1118	Sex	M	1.57348377246812	0.484765499380568	101	98	0.00161783388551413	0.103419596229909
F290	Sex	M	-1.34165096063995	0.414675696684416	101	89	0.00167202505924892	0.105746691247179
F344	Sex	M	-1.63702506905194	0.507140998101327	101	101	0.00171184137979344	0.107125231609179
F74	Diabetes	Diabetes	-2.69156663975602	0.839194426954093	101	98	0.00182637539011908	0.113102100981853
F657	Periodontitis	Periodontitis	2.42543385818784	0.759311769984763	101	52	0.00190260357812986	0.116608023422495
F1009	Age	Age	0.0788835679157036	0.0248137612899938	101	88	0.00199516559248557	0.121033259666599
F871	KidneyDisease	KidneyDisease	2.38396987342138	0.754799925007069	101	90	0.00212715197546119	0.126646408016815
F1103	Sex	M	1.63643928584102	0.518199024775566	101	98	0.00213030122820547	0.126646408016815
F117	Periodontitis	Periodontitis	2.67944504104957	0.852077885578252	101	72	0.00222009750767778	0.130678016664796
F444	Diabetes	Diabetes	-2.26449061755036	0.722434246216517	101	85	0.00229024979047662	0.132189660236733
F467	Diabetes	Diabetes	-1.87862203061762	0.598839377280063	101	97	0.00227211041765771	0.132189660236733
F819	Periodontitis	Periodontitis	2.00312134743775	0.640006878044844	101	90	0.00232357578076858	0.132823634775665
F1116	Sex	M	1.59470421847413	0.510848793690296	101	99	0.00238275921451108	0.134909557431128
F351	Sex	M	2.2790794089135	0.73159293152856	101	84	0.00243045831293628	0.136312025192511
F1060	KidneyDisease	KidneyDisease	1.6662650907572	0.535802868120055	101	73	0.00247095443924349	0.13728807608694
F294	KidneyDisease	KidneyDisease	2.5008322664587	0.805775373816255	101	81	0.00251848470496035	0.138633255286938
F69	KidneyDisease	KidneyDisease	-2.44214296228369	0.79070925585157	101	88	0.00263746697956923	0.143259291627174
F617	KidneyDisease	KidneyDisease	-1.778475044746	0.576135089114942	101	101	0.00265071860033459	0.143259291627174
F406	KidneyDisease	KidneyDisease	-2.09317766130898	0.681005569194052	101	33	0.00275999479971552	0.147821343101881
F1102	Age	Age	0.0342358464289687	0.0111591401658304	101	16	0.00280821829388384	0.149061229974459
F558	Diabetes	Diabetes	-2.8790217500154	0.939983656830176	101	80	0.00285227638758563	0.150060027647757
F195	Periodontitis	Periodontitis	-2.17868332389655	0.714297783874934	101	75	0.00296462830416667	0.154580179256984
F1007	KidneyDisease	KidneyDisease	1.45414367063544	0.477195700298944	101	37	0.00299019690741012	0.154580179256984
F1135	Sex	M	1.51316903745982	0.497282092397002	101	96	0.00303018156685768	0.154603672748669
F1137	Periodontitis	Periodontitis	2.85827166242265	0.939751333968444	101	99	0.00304266269328751	0.154603672748669
F413	KidneyDisease	KidneyDisease	-1.7428791776896	0.576614904580364	101	92	0.00322132326151504	0.161361165586495
F1110	Periodontitis	Periodontitis	2.34934165658048	0.777485424336808	101	46	0.00322993754496096	0.161361165586495
F259	Periodontitis	Periodontitis	2.81182448068609	0.931777041205416	101	98	0.00326920771431784	0.16196199884683
F32	Sex	M	1.58163333302911	0.527012147473449	101	100	0.00343589578653814	0.164656271054583
F81	Periodontitis	Periodontitis	2.87588346275108	0.960092595940753	101	58	0.00349513489022127	0.164656271054583
F112	Periodontitis	Periodontitis	2.78129632771938	0.928786995694958	101	79	0.00350430685543976	0.164656271054583
F257	Diabetes	Diabetes	-1.3928702662267	0.466144440949399	101	37	0.00357286105400189	0.164656271054583
F584	KidneyDisease	KidneyDisease	-1.97452628084439	0.656141801274696	101	101	0.00335278736360177	0.164656271054583
F790	Age	Age	0.0556456509741907	0.0185435294925852	101	17	0.00343919445602085	0.164656271054583
F1054	Sex	M	-1.92116830544571	0.640229974138312	101	75	0.00343986494454117	0.164656271054583
F1132	Sex	M	0.917144662609166	0.306733657874149	101	27	0.00355189219492831	0.164656271054583
F1137	Sex	M	1.92548672309906	0.643503416442836	101	99	0.00352905934852845	0.164656271054583
