"feature","R2","F","p"
"Lancefieldella_sp000564995",0.00905489394982609,0.904625791640364,0.38
"Lancefieldella_sp015258605",0.00698395860998669,0.696274655765732,0.8
"Lancefieldella_sp015258715",0.00555581002292355,0.553098100238395,0.945
"Lancefieldella_sp015258785",0.00723099587078055,0.721082737504662,0.74
"Lancefieldella_sp015259035",0.00754926198002707,0.753061998335316,0.665
"Lancefieldella_sp015259045",0.00699185182557222,0.697067120752429,0.765
"Lancefieldella_sp015259105",0.0078143852860506,0.779717153571157,0.565
"Lancefieldella_sp018376005",0.00665546230537792,0.663305372133604,0.765
"Lancefieldella_sp900555335",0.00507205193976621,0.504692970999399,0.965
"Lancefieldella_sp916438885",0.00693415895066364,0.691275147869672,0.71
"Lancefieldella_sp916438965",0.00689504090816247,0.68734834486408,0.765
"Lancefieldella_sp916715765",0.00513579039047215,0.511067986711775,0.985
"Lancefieldella_sp916720015",0.00686043708159362,0.683874952158731,0.8
"Lancefieldella_sp916720465",0.0107921961057855,1.08008389164207,0.195
"Lautropia_dentalis",0.00544747652606973,0.542254092521077,0.95
"Lautropia_mirabilis",0.0071869243229028,0.716656060842199,0.76
"Leptotrichia_A_sp000469505",0.00814987857144282,0.813467641069353,0.555
"Leptotrichia_A_sp001274535",0.00659932357107628,0.657673231998546,0.875
"Leptotrichia_A_sp905371725",0.00928331313550446,0.927659756416966,0.445
"Leptotrichia_buccalis",0.0115854508341115,1.16040342945674,0.195
"Leptotrichia_hofstadii",0.00697118463840831,0.694992198137895,0.82
"Leptotrichia_hongkongensis",0.0118066713075434,1.18282569362555,0.145
"Leptotrichia_massiliensis",0.00553020409768578,0.550534775341404,0.97
"Leptotrichia_shahii",0.0108688961644747,1.08784438797904,0.285
"Leptotrichia_sp000469385",0.0097245633455096,0.972185854127521,0.335
"Leptotrichia_sp001553645",0.00882405229516409,0.881358329208963,0.37
"Leptotrichia_sp002240055",0.00998523226134571,0.998508331477921,0.275
"Leptotrichia_sp018128225",0.00915874644339393,0.915097039653284,0.365
"Leptotrichia_trevisanii",0.00756449129308153,0.754592748289329,0.685
"Leptotrichia_wadei",0.00827662542737287,0.826224266079259,0.565
"Leptotrichia_wadei_A",0.00917970826030145,0.917210845746985,0.44
"Ligilactobacillus_salivarius",0.00618744048437181,0.616370362889519,0.845
"Limosilactobacillus_mucosae",0.00791398810082739,0.789734773582855,0.46
"Limosilactobacillus_vaginalis",0.00763831914554524,0.762014102315874,0.58
"Mesocricetibacter_sp905373425",0.00616764348640432,0.614386019082762,0.93
"Metamycoplasma_orale",0.00847527078293325,0.846223783216107,0.49
"Metamycoplasma_salivarium",0.00891287797103339,0.890310144809365,0.4
"Mobiluncus_sp916438445",0.00553293875426244,0.550808526514512,0.94
"Mogibacterium_diversum",0.00593319153189867,0.590891836096163,0.935
"Mogibacterium_pumilum",0.0118634585441066,1.18858310222604,0.26
"Mogibacterium_sp916438645",0.0143981352135766,1.44623852396318,0.115
"Mogibacterium_sp916438865",0.0292372258232539,2.98166084804478,0.02
"Mogibacterium_timidum",0.00720157207639862,0.718127280937161,0.77
"Moraxella_sp916720335",0.00969650199756826,0.96935303136423,0.325
"Nanogingivalis_gingivitcus",0.0079078949280932,0.789121890879762,0.56
"Nanogingivalis_sp013333405",0.037034548988001,3.80742667969966,0.01
"Nanogingivalis_sp015257795",0.00714739778192601,0.712686232407393,0.685
"Nanogingivalis_sp900555945",0.0071153061731166,0.709463360164723,0.705
"Nanogingivalis_sp900556165",0.00763357175988536,0.761536850424161,0.565
"Nanogingivalis_sp916438495",0.00628982643092191,0.62663423724924,0.865
"Nanogingivalis_sp934717805",0.0070250411641364,0.700399409935638,0.68
"Nanoperiomorbus_periodonticus",0.00613177638313527,0.61079109635002,0.875
"Nanoperiomorbus_sp013333515",0.0070802795872459,0.705945974006803,0.72
"Nanoperiomorbus_sp905365345",0.00846414550620788,0.845103483970711,0.52
"Nanoperiomorbus_sp905372225",0.00672871810072303,0.670655745425176,0.755
"Nanoperiomorbus_sp905373275",0.00705930686391854,0.703840002085759,0.75
"Nanoperiomorbus_sp905373385",0.00690284117587776,0.688131337744493,0.72
"Nanosynbacter_featherlites",0.0125077486449327,1.25395122255304,0.125
"Nanosynbacter_lyticus",0.00857726945146253,0.856496073299601,0.46
"Nanosynbacter_sp005697215",0.0114333124488209,1.14498894883576,0.095
"Nanosynbacter_sp007845355",0.00740582772127191,0.738647238601797,0.745
"Nanosynbacter_sp010202115",0.0104038204686905,1.04080659131908,0.265
"Nanosynbacter_sp010202465",0.0103960177046728,1.04001779618492,0.245
"Nanosynbacter_sp010202645",0.00656048851511222,0.65377746253048,0.875
"Nanosynbacter_sp010202845",0.00940589790925521,0.940025678581078,0.415
"Nanosynbacter_sp013099015",0.00874185288442029,0.873075735191611,0.5
"Nanosynbacter_sp013099195",0.00631781639088534,0.629440512283239,0.925
"Nanosynbacter_sp013100805",0.00858285073302977,0.857058225387967,0.48
"Nanosynbacter_sp013100825",0.00926697382292337,0.926011734977167,0.435
"Nanosynbacter_sp015257635",0.0081351220968639,0.81198266571566,0.61
"Nanosynbacter_sp015257705",0.0071701565233856,0.714971956654216,0.675
"Nanosynbacter_sp021222645",0.00916631679931722,0.915860429977538,0.4
"Nanosynbacter_sp022819365",0.00822946050304234,0.821476901516383,0.45
"Nanosynbacter_sp022828255",0.00542146071539896,0.539650303746311,0.98
"Nanosynbacter_sp022828325",0.00820983127339638,0.819501263165163,0.615
"Nanosynbacter_sp022828365",0.00741379901011322,0.739448222501218,0.665
"Nanosynbacter_sp022828375",0.00636703502550224,0.634375558927737,0.915
"Nanosynbacter_sp024330325",0.00697963042183318,0.695840118622152,0.775
"Nanosynbacter_sp900555265",0.00686720913094549,0.684554684141169,0.825
"Nanosynbacter_sp900555425",0.00817964892364897,0.81646362928775,0.46
"Nanosynbacter_sp900555675",0.00784421932546343,0.782717521126479,0.69
"Nanosynbacter_sp900555885",0.0062823367906797,0.625883352288043,0.915
"Nanosynbacter_sp900556355",0.00974966468261147,0.974719996705854,0.315
"Nanosynbacter_sp900556885",0.0072270017795306,0.720681542967027,0.61
"Nanosynbacter_sp900557595",0.00674816451119716,0.67260715031022,0.865
"Nanosynbacter_sp905370345",0.00920859195102746,0.920123646355497,0.365
"Nanosynbacter_sp905372305",0.0116090561046023,1.16279551270075,0.205
"Nanosynbacter_sp905372835",0.015896409190383,1.59916549898289,0.055
"Nanosynbacter_sp905373315",0.0142488919223338,1.43103090501411,0.08
"Nanosynbacter_sp905373795",0.0105006476043824,1.05059605174782,0.275
"Nanosynbacter_sp915070155",0.00631313382582662,0.628971027022999,0.85
"Nanosyncoccus_nanoralicus",0.00780544195408036,0.778817770353255,0.69
"Nanosyncoccus_sp007845165",0.0148236694532589,1.48962498424845,0.085
"Nanosyncoccus_sp013332955",0.00572208688028129,0.569746741502482,0.925
"Nanosyncoccus_sp013332965",0.00941324618073844,0.940767043673934,0.455
"Nanosyncoccus_sp013333135",0.0269356326286177,2.74044320154969,0.035
"Nanosyncoccus_sp013333375",0.00734693436582164,0.73272982011259,0.7
"Nanosyncoccus_sp015257445",0.00830663122087734,0.829244720955695,0.57
