"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease"
"P_Lauryl diethanolamide","P_Lauryl diethanolamide",-1.00602085317392,4.13044575667767e-07,8.04538999561564e-06,0.282617753558473,0.109824505877099,0.426377493405208,FALSE,34,67
"P_EC (C)","P_EC (C)",0,0.867781183638907,0.967954622615508,-0.131203417738757,0.743680800165786,0.921127425406416,FALSE,34,67
"P_Exemestane","P_Exemestane",0.689180159766224,0.991378735017536,0.997133032244234,0.337718885328211,0.939850633217627,0.982377811191276,TRUE,34,67
"P_5'-S-Methylthioadenosine","P_5'-S-Methylthioadenosine",0.747460231500632,0.0146955714419837,0.109726933433478,-0.240377780754656,0.103582533981631,0.412544230168219,FALSE,34,67
"P_1-Methylguanosine","P_1-Methylguanosine",0.00521265109473745,0.456901501256075,0.705985751205581,-0.417165871513031,0.128528163293796,0.459687880023346,FALSE,34,67
"P_2,2'-(Tetradecylimino)diethanol","P_2,2'-(Tetradecylimino)dietha",-5.16769517734696,0.623789121874818,0.828829760745111,-1.21751808591602,0.0700326737496838,0.333557683220143,TRUE,34,67
"P_4-hydroxy-1'-methylspiro[benzo[e][1,3]oxazine-2,3'-indolin]-2'-one","P_4-hydroxy-1'-methylspiro[ben",0.195770713287278,0.183578790267778,0.504560110674628,0,NA,NA,FALSE,34,67
"P_Gastrodin","P_Gastrodin",-1.24160889042425,0.83649250624072,0.958436426587833,-2.61694223106428,0.00632070181757396,0.115977530722826,TRUE,34,67
"P_N2,N2-Dimethylguanosine","P_N2,N2-Dimethylguanosine",-0.326018621610771,0.9742009803984,0.997133032244234,-0.0673892828345082,0.809752240403138,0.931845470620107,TRUE,34,67
"P_Heliotrine","P_Heliotrine",-7.64553137610939,0.106206869834718,0.356092965757078,-2.02647675129302,0.0302568951921988,0.245648775108935,TRUE,34,67
"P_Phytosphingosine (not validated, isomer of 1696)","P_Phytosphingosine (not valida",0,NA,NA,-0.0749271089662713,0.837717854562704,0.939382642737789,FALSE,34,67
"P_Jaceosidin","P_Jaceosidin",0,0.0252731927043362,0.164092613500618,0,0.428437144610108,0.79175184323948,TRUE,34,67
"P_Erucamide","P_Erucamide",0.462057043440382,0.0291772111694737,0.167581930819541,0.00939316966605119,0.234299814738091,0.601369524494435,TRUE,34,67
