"feature","rho","p","padj","Genus","Phylum"
"Catonella_sp916438995",-0.235453679407177,0.0177759353962558,0.0688455608669322,"Catonella","Bacillota_A"
"Streptococcus_sanguinis_H",-0.235289549354147,0.0178578533306617,0.0689382714615481,"Streptococcus","Bacillota"
"Treponema_B_denticola_C",0.234742449177382,0.0181332697049474,0.0697749439455741,"Treponema_B","Spirochaetota"
"Bacillus_A_thuringiensis_S",-0.234547924670088,0.0182320743606123,0.0699288271444128,"Bacillus_A","Bacillota"
"Streptococcus_sp015594605",-0.23393395669394,0.0185469769980561,0.0709078959829221,"Streptococcus","Bacillota"
"Streptococcus_sp901875575",-0.233374698735469,0.0188378867287922,0.0717892542324807,"Streptococcus","Bacillota"
"Streptococcus_infantis_C",-0.232833677449557,0.0191230413948734,0.0726431189089599,"Streptococcus","Bacillota"
"Catonella_morbi",-0.23242639176241,0.0193401526357812,0.0730014015363297,"Catonella","Bacillota_A"
"Streptococcus_oralis_BH",-0.23242639176241,0.0193401526357812,0.0730014015363297,"Streptococcus","Bacillota"
"Streptococcus_infantis_H",-0.232079894983792,0.0195265257535238,0.0734716427877842,"Streptococcus","Bacillota"
"Centipeda_infelix",-0.231672609296644,0.0197475692948449,0.0740689586484875,"Centipeda","Bacillota_C"
"Streptococcus_sp001810785",-0.230742538996143,0.0202604211347514,0.0755540186472066,"Streptococcus","Bacillota"
"Fusobacterium_periodonticum_D",-0.230724302323585,0.0202705903687628,0.0755540186472066,"Fusobacterium","Fusobacteriota"
"Haemophilus_sp001276515",-0.229964440966966,0.020698224223633,0.0769068393809363,"Haemophilus","Pseudomonadota"
"Haemophilus_D_sp019423005",-0.229842863149907,0.0207673593796304,0.0769233342753288,"Haemophilus_D","Pseudomonadota"
"Nanoperiomorbus_periodonticus",-0.229247131846319,0.0211089940825676,0.0779459439881145,"Nanoperiomorbus","Patescibacteria"
"Prevotella_sp000599605",-0.228748662796377,0.0213985458327246,0.0785981473783457,"Prevotella","Bacteroidota"
"Treponema_D_pectinovorum",0.228687873887848,0.0214340889341461,0.0785981473783457,"Treponema_D","Spirochaetota"
"Streptococcus_sp905221295",0.228602769415906,0.0214839343128363,0.0785981473783457,"Streptococcus","Bacillota"
"VGLK01_sp905372785",-0.22770309356967,0.0220169784904246,0.0803011884205976,"VGLK01","Patescibacteria"
"Veillonella_sp900538355",-0.226359658691169,0.0228340157796391,0.0830264365810117,"Veillonella","Bacillota_C"
"Nanogingivalis_gingivitcus",-0.22528977390105,0.0235031125762444,0.085198783088886,"Nanogingivalis","Patescibacteria"
"Streptococcus_sp905221215",-0.224894645995609,0.0237544238087798,0.0857419596290462,"Streptococcus","Bacillota"
"Bacteroides_stercoris",-0.224827778196227,0.0237971797120145,0.0857419596290462,"Bacteroides","Bacteroidota"
"Neisseria_flavescens",0.223964575695108,0.0243550479877523,0.0874868642218654,"Neisseria","Pseudomonadota"
"Streptococcus_oralis_V",-0.223697104497578,0.024530157866177,0.087850475008688,"Streptococcus","Bacillota"
"Olegusella_sp000466405",0.223222951011049,0.024843220487353,0.0887044719503384,"Olegusella","Actinomycetota"
"Pauljensenia_sp000466265",-0.222159145111783,0.02555802309554,0.090632285194521,"Pauljensenia","Actinomycetota"
"Campylobacter_A_concisus_AE",-0.222110513984959,0.0255911142954501,0.090632285194521,"Campylobacter_A","Campylobacterota"
"Pauljensenia_turicensis",-0.222080119530695,0.025611814823683,0.090632285194521,"Pauljensenia","Actinomycetota"
"Corynebacterium_matruchotii",-0.221891673914253,0.0257404767173353,0.0907243193902548,"Corynebacterium","Actinomycetota"
"Neisseria_weixii",-0.221818727224018,0.0257904288931086,0.0907243193902548,"Neisseria","Pseudomonadota"
