feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F29	Sex	M	0.448113112958656	0.709408069905244	101	76	0.529118417081099	0.926566813321739
F30	Periodontitis	Periodontitis	-0.185536639189704	0.271173164116168	101	14	0.495514660558241	0.926566813321739
F34	Diabetes	Diabetes	0.569654381603379	0.855746089510898	101	24	0.507227776318908	0.926566813321739
F35	KidneyDisease	KidneyDisease	0.371447917088635	0.587784262428733	101	13	0.52894002582604	0.926566813321739
F36	Age	Age	-0.0103491622337917	0.0159885934743436	101	14	0.519009162533383	0.926566813321739
F37	Diabetes	Diabetes	0.609140413809625	0.906141734315002	101	90	0.503065638300867	0.926566813321739
F39	Age	Age	-0.0303790989731987	0.0457739408492185	101	54	0.508504666796465	0.926566813321739
F40	KidneyDisease	KidneyDisease	-0.630224770354515	0.927227592748378	101	21	0.498355369447816	0.926566813321739
F46	Periodontitis	Periodontitis	0.223696848719869	0.348102042356205	101	101	0.522019516337084	0.926566813321739
F51	Age	Age	-0.0177702312814424	0.0275370901954996	101	58	0.520275448891908	0.926566813321739
F52	Diabetes	Diabetes	-0.653996515009159	1.00076565788602	101	31	0.515015078358853	0.926566813321739
F54	KidneyDisease	KidneyDisease	-0.608008167292768	0.912009421939999	101	94	0.506599658426794	0.926566813321739
F58	Diabetes	Diabetes	0.32522589687051	0.513563018140547	101	28	0.528076594066823	0.926566813321739
F64	KidneyDisease	KidneyDisease	0.619920763957254	0.968783178047228	101	53	0.523780261332448	0.926566813321739
F66	KidneyDisease	KidneyDisease	0.3592457043404	0.562869264295074	101	27	0.524853006103706	0.926566813321739
F69	Sex	M	-0.332927507826019	0.489419137289433	101	14	0.498000454409223	0.926566813321739
F1	Diabetes	Diabetes	-0.151929721730174	0.291776585134979	101	11	0.603783362351707	0.927352145723264
F4	Periodontitis	Periodontitis	0.817022240774759	1.55154634267401	101	43	0.599708627105075	0.927352145723264
F9	Periodontitis	Periodontitis	0.222708044217975	0.368107677535766	101	12	0.546616230333582	0.927352145723264
