feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F19	KidneyDisease	KidneyDisease	0.763635884311911	0.402958581610784	101	18	0.0611234104661511	0.591379176265858
F20	Periodontitis	Periodontitis	-0.736433902562116	0.375911811246239	101	13	0.0530375594519066	0.591379176265858
F23	Age	Age	0.0473059753759407	0.0250495519626959	101	19	0.0620104482140519	0.591379176265858
F24	Age	Age	0.0363388888868343	0.0184798248956335	101	13	0.0521698854084405	0.591379176265858
F29	Age	Age	0.0176518613717107	0.00941480474572685	101	13	0.0638777955093692	0.591379176265858
F36	KidneyDisease	KidneyDisease	0.853786151462061	0.445193899757891	101	13	0.0581419332567554	0.591379176265858
F40	KidneyDisease	KidneyDisease	0.708861851709524	0.375895314692511	101	13	0.0623777077870141	0.591379176265858
F54	Periodontitis	Periodontitis	-1.48680468324909	0.76284877971241	101	12	0.0542433057337334	0.591379176265858
F78	KidneyDisease	KidneyDisease	0.717936021583675	0.379500412610513	101	16	0.0615644951869573	0.591379176265858
F81	KidneyDisease	KidneyDisease	0.862103167478709	0.436045815152101	101	14	0.0509298501750517	0.591379176265858
F102	Sex	M	1.10194758758825	0.589272058395395	101	68	0.064561045443871	0.591379176265858
F106	Sex	M	2.11244085534574	1.09338808641165	101	42	0.0563373360453363	0.591379176265858
F109	Periodontitis	Periodontitis	-1.24928193263115	0.667603112671593	101	21	0.0643816882699056	0.591379176265858
F128	KidneyDisease	KidneyDisease	-1.81858112858024	0.954946010228524	101	71	0.0598862861094225	0.591379176265858
F130	Diabetes	Diabetes	0.742498043928647	0.382155041734679	101	100	0.0549859706715728	0.591379176265858
F131	Periodontitis	Periodontitis	-0.669357624042089	0.352399233988619	101	101	0.0605416890433128	0.591379176265858
F140	Sex	M	1.17855094531309	0.608437665936083	101	66	0.0557147976974167	0.591379176265858
F142	KidneyDisease	KidneyDisease	1.42163275865927	0.724492583830435	101	18	0.0526598971340342	0.591379176265858
F159	Sex	M	1.14846537955502	0.603616865944442	101	92	0.0601161194350413	0.591379176265858
F160	Sex	M	-1.20047134833634	0.638690480372692	101	20	0.0632298564026416	0.591379176265858
F161	Diabetes	Diabetes	1.48002234620179	0.752890055296887	101	43	0.0522426915955619	0.591379176265858
F178	Sex	M	1.24185906248847	0.662264670338453	101	38	0.0638408477216754	0.591379176265858
F196	Diabetes	Diabetes	-0.601146121426285	0.315202177082788	101	16	0.0595189282119639	0.591379176265858
F201	Age	Age	0.0268751634106546	0.0137357375622429	101	20	0.0533323563082055	0.591379176265858
F205	Age	Age	0.039196659479726	0.0207919271624286	101	16	0.0624608627202704	0.591379176265858
F219	KidneyDisease	KidneyDisease	0.815858319389206	0.43565889920942	101	13	0.0641851390434765	0.591379176265858
F227	KidneyDisease	KidneyDisease	0.668258981637854	0.35513720656382	101	13	0.0629393876984245	0.591379176265858
F228	KidneyDisease	KidneyDisease	0.59851579796379	0.319547725193894	101	13	0.0641419458936489	0.591379176265858
F101	Diabetes	Diabetes	-1.18542501759163	0.636892444873518	101	61	0.0657991377422816	0.593228446574114
F123	Periodontitis	Periodontitis	-0.60414281953219	0.324378128351751	101	12	0.0656280993483534	0.593228446574114
F128	Periodontitis	Periodontitis	-2.075816428441	1.12319407350663	101	71	0.0676936138892542	0.60554053049372
F24	Periodontitis	Periodontitis	-1.26457085423702	0.686949027288536	101	13	0.0687646157539463	0.61035259719588
F23	Periodontitis	Periodontitis	-1.70527150246763	0.931164957025838	101	19	0.0701852850778778	0.61150276729787
F154	Sex	M	0.54293465581231	0.29576975322623	101	18	0.0695353055898739	0.61150276729787
F166	Sex	M	0.944629165288851	0.516397343360714	101	94	0.0704963888937283	0.61150276729787
F10	Periodontitis	Periodontitis	1.47490338621769	0.815233144682883	101	15	0.0735858886657707	0.619528253840496
F41	Age	Age	-0.0440353990085325	0.0243381248834889	101	33	0.0735643192834536	0.619528253840496
F130	KidneyDisease	KidneyDisease	-0.773165868206395	0.425087406088497	101	100	0.0720864667661576	0.619528253840496
F137	KidneyDisease	KidneyDisease	1.02264020138906	0.564396917368461	101	15	0.0731584640759723	0.619528253840496
F15	KidneyDisease	KidneyDisease	-0.837310314048998	0.469834497426615	101	101	0.0779215249729467	0.619827458714503
F27	Sex	M	0.957576443451685	0.530763942787593	101	86	0.0743772270658855	0.619827458714503
F43	Diabetes	Diabetes	-0.530486822649337	0.297590041727665	101	13	0.0778443023982138	0.619827458714503
F51	Sex	M	0.799541247692706	0.44519354304846	101	92	0.0756828779834781	0.619827458714503
F131	Diabetes	Diabetes	0.481433400247714	0.269352075355072	101	101	0.0770657256416962	0.619827458714503
F144	KidneyDisease	KidneyDisease	0.679522827467541	0.382040808518663	101	12	0.0784934336363345	0.619827458714503
F190	Sex	M	0.627463651246336	0.349775295865428	101	13	0.0760096902300398	0.619827458714503
F210	Age	Age	-0.0345546732999534	0.0194105662449544	101	89	0.0782404898779941	0.619827458714503
F228	Sex	M	-0.458366185660062	0.25736508042261	101	13	0.0781093200719364	0.619827458714503
F151	Periodontitis	Periodontitis	-1.53143795584488	0.866636100944012	101	57	0.0804218370810759	0.630705503135835
F88	Age	Age	-0.0560947605627881	0.0318896161334013	101	23	0.0817923673383437	0.637090208179616
F74	Periodontitis	Periodontitis	-0.676938980746325	0.386716896836114	101	101	0.0832644295412481	0.637962164316248
F81	Sex	M	0.613003738825679	0.35119313153135	101	14	0.0841330015823174	0.637962164316248
F86	Periodontitis	Periodontitis	-1.0363850757774	0.591035103549482	101	45	0.0827401273884222	0.637962164316248
F220	Periodontitis	Periodontitis	-1.75504076417658	1.00485296613197	101	62	0.0839450435661297	0.637962164316248
F148	KidneyDisease	KidneyDisease	0.879634748659213	0.506128399254015	101	12	0.0854568228192413	0.643737250842311
F16	Diabetes	Diabetes	1.15475326999775	0.670673940124271	101	44	0.0883639304437571	0.643940086658522
F27	Age	Age	-0.0359059221658139	0.0208514780080331	101	86	0.0883267822307615	0.643940086658522
F42	Sex	M	1.35881081036511	0.790432598251467	101	63	0.0888581080279881	0.643940086658522
F58	Periodontitis	Periodontitis	-1.93935318119593	1.12330986680887	101	39	0.0875147218378984	0.643940086658522
F94	Age	Age	-0.0216813800697628	0.0125485952640002	101	18	0.0872747236413687	0.643940086658522
F223	KidneyDisease	KidneyDisease	1.10171548274074	0.638278490435464	101	15	0.0875851717834062	0.643940086658522
F34	KidneyDisease	KidneyDisease	-1.16563262942816	0.684935358346003	101	12	0.0920607954765028	0.650676610003677
F70	Periodontitis	Periodontitis	-2.08878620359001	1.22215080213512	101	82	0.090696146967145	0.650676610003677
F83	Sex	M	0.956178474296116	0.561020329394117	101	15	0.0915832088604948	0.650676610003677
F187	Age	Age	-0.0559169045005493	0.0327749505426223	101	41	0.0912592748829463	0.650676610003677
F178	KidneyDisease	KidneyDisease	-1.39222890962818	0.822276155473131	101	38	0.093705642189739	0.658239020289885
F19	Sex	M	-0.54216810692373	0.324544534624094	101	18	0.0981020108346245	0.661701539224687
F30	Age	Age	0.042039485569297	0.0250596491032623	101	65	0.0967170159824974	0.661701539224687
F54	Sex	M	0.874980951631464	0.522367756480001	101	12	0.0972174657017309	0.661701539224687
F77	Sex	M	0.330433046501426	0.198142868185795	101	11	0.0986783899774331	0.661701539224687
F143	Sex	M	-0.894675767253656	0.537652738326165	101	13	0.0993997072023111	0.661701539224687
F147	Periodontitis	Periodontitis	0.682225775316246	0.409273216084029	101	11	0.0988239583481368	0.661701539224687
F151	KidneyDisease	KidneyDisease	1.23718365340765	0.73681895803878	101	57	0.096421264814321	0.661701539224687
