species,category
Agrococcus_sediminis,GTDB_only
Agrococcus_sp018308945,GTDB_only
Agrococcus_sp900117395,GTDB_only
Agrococcus_terreus,GTDB_only
Agromyces_cavernae,GTDB_only
Akanthomyces_lecanii,GTDB_only
Akkermansia_muciniphila,GTDB_only
Akkermansia_muciniphila_B,GTDB_only
Albitalea_sp905339355,GTDB_only
Alcaligenes_faecalis,GTDB_only
Alcaligenes_faecalis_D,GTDB_only
Alcaligenes_phenolicus,GTDB_only
Alicycliphilus_sp018054745,GTDB_only
Aliihoeflea_sp000497755,GTDB_only
Aliihoeflea_sp024105655,GTDB_only
Alistipes_A_ihumii,GTDB_only
Alistipes_A_indistinctus,GTDB_only
Alistipes_A_sp910583985,GTDB_only
Alistipes_avicola,GTDB_only
Alistipes_communis,GTDB_only
Alistipes_excrementavium,GTDB_only
Alistipes_finegoldii,GTDB_only
Alistipes_intestinipullorum,GTDB_only
Alistipes_merdavium,GTDB_only
Alistipes_provencensis,GTDB_only
Alistipes_shahii,GTDB_only
Alistipes_sp002358415,GTDB_only
Alistipes_sp002362235,GTDB_only
Alistipes_sp002428825,GTDB_only
Alistipes_sp003979135,GTDB_only
Alistipes_sp009774895,GTDB_only
Alistipes_sp900552955,GTDB_only
Alistipes_sp910576555,GTDB_only
Alistipes_sp910577475,GTDB_only
Alistipes_sp910580175,GTDB_only
Alistipes_sp910587675,GTDB_only
Alistipes_sp944320665,GTDB_only
Alistipes_sp944321945,GTDB_only
Aliterella_atlantica,GTDB_only
Aliterella_sp000332075,GTDB_only
Aliterella_sp003003885,GTDB_only
Aliterella_sp013698215,GTDB_only
Alkalibacterium_pelagium,GTDB_only
Allobaculum_sp910579655,GTDB_only
Alloprevotella_sp000437675,GTDB_only
Alloprevotella_sp002933955,GTDB_only
Alloprevotella_sp009775705,GTDB_only
Alloprevotella_sp916438195,GTDB_only
Allorhizobium_selenitireducens,GTDB_only
Allorhizobium_sp002796995,GTDB_only
Allorhizobium_sp003527225,GTDB_only
Allorhizobium_sp012927355,GTDB_only
Allorhizobium_sp024055605,GTDB_only
Allosaccharopolyspora_coralli,GTDB_only
Allosphingosinicella_sp934539295,GTDB_only
Alteraurantiacibacter_sp002341345,GTDB_only
Alteraurantiacibacter_sp024642335,GTDB_only
Alteriqipengyuania_bathyomarina,GTDB_only
Amaricoccus_sp017993425,GTDB_only
Aminobacter_carboxidus,GTDB_only
Amulumruptor_sp001689515,GTDB_only
Anaerobutyricum_hallii,GTDB_only
Anaerocaecibacter_sp910587805,GTDB_only
Anaerococcus_lactolyticus,GTDB_only
Anaerococcus_prevotii,GTDB_only
Anaerococcus_sp022770135,GTDB_only
Anaerococcus_sp900258475,GTDB_only
Anaerococcus_tetradius,GTDB_only
Anaerococcus_vaginimassiliensis,GTDB_only
Anaeromyxobacter_sp022690685,GTDB_only
Anaerospora_sp002337925,GTDB_only
Anaerostipes_butyraticus,GTDB_only
Anaerotignum_faecicola,GTDB_only
Anaerotruncus_sp000403395,GTDB_only
Anaerotruncus_sp003612625,GTDB_only
Ancylobacter_novellum_A,GTDB_only
Aneurinibacillus_aneurinilyticus,GTDB_only
Angelakisella_sp900547385,GTDB_only
Angelakisella_sp910585535,GTDB_only
Anoxybacillus_A_tepidamans,GTDB_only
Aquabacterium_A_sp016213205,GTDB_only
Aquabacterium_parvum,GTDB_only
Aquabacterium_sp001770775,GTDB_only
Aquabacterium_sp002339015,GTDB_only
Aquabacterium_sp003963115,GTDB_only
Aquabacterium_sp004297345,GTDB_only
Aquabacterium_sp016000265,GTDB_only
Aquabacterium_sp016185075,GTDB_only
Aquabacterium_sp016195855,GTDB_only
Aquabacterium_sp017989885,GTDB_only
Aquabacterium_sp017994835,GTDB_only
Aquabacterium_sp021768455,GTDB_only
Aquabacterium_sp021819435,GTDB_only
Aquabacterium_sp022566735,GTDB_only
Aquabacterium_sp903871865,GTDB_only
Aquabacterium_sp903894125,GTDB_only
Aquabacterium_sp913773725,GTDB_only
Aquabacterium_sp943908475,GTDB_only
Aquamicrobium_A_sp023419995,GTDB_only
Aquihabitans_sp019639095,GTDB_only
Aquincola_tertiaricarbonis_A,GTDB_only
Aquincola_tertiaricarbonis_B,GTDB_only
Aquisediminimonas_A_sediminicola,GTDB_only
Arachnia_antarctica,GTDB_only
Arachnia_bendigoensis,GTDB_only
Arachnia_defluvii,GTDB_only
Arachnia_flavescens,GTDB_only
Arachnia_massiliensis,GTDB_only
Arachnia_oleiagri,GTDB_only
Arachnia_rhinocerotis,GTDB_only
Arachnia_sp013333945,GTDB_only
Arcanobacterium_A_urinimassiliense,GTDB_only
Aromatoleum_petrolei,GTDB_only
Arsenicicoccus_bolidensis,GTDB_only
Arthrobacter_B_sp023022985,GTDB_only
Arthrobacter_D_ruber,GTDB_only
Arthrobacter_D_sp003075455,GTDB_only
Arthrobacter_E_woluwensis,GTDB_only
Arthrobacter_luteus_A,GTDB_only
Arthrobacter_oxydans,GTDB_only
Arthrobacter_polychromogenes,GTDB_only
Arthrobacter_sp000374865,GTDB_only
Arthrobacter_sp018613795,GTDB_only
Arthrobacter_sp900168295,GTDB_only
Arthrobacter_sp900537115,GTDB_only
Asanoa_iriomotensis,GTDB_only
Aspergillus_costiformis,GTDB_only
Aspergillus_flavus,GTDB_only
Aspergillus_fumigatus,GTDB_only
Aspergillus_lentulus,GTDB_only
Aspergillus_ustus,GTDB_only
Aspergillus_verrucosus,GTDB_only
Aspergillus_wentii,GTDB_only
Asticcacaulis_excentricus_A,GTDB_only
Atlantibacter_hermannii,GTDB_only
Atopobium_deltae,GTDB_only
