species,category
Klebsiella_aerogenes,shared
Klebsiella_grimontii,shared
Klebsiella_pneumoniae,shared
Klebsiella_variicola,shared
Kocuria_palustris,shared
Kocuria_rhizophila,shared
Kocuria_salsicia,shared
Lachnoanaerobaculum_gingivalis,shared
Lachnoanaerobaculum_orale,shared
Lachnoanaerobaculum_saburreum,shared
Lachnoanaerobaculum_sp000209465,shared
Lachnoanaerobaculum_sp000287675,shared
Lachnoanaerobaculum_umeaense,shared
Lacticaseibacillus_paracasei,shared
Lacticaseibacillus_rhamnosus,shared
Lactiplantibacillus_plantarum,shared
Lactobacillus_crispatus,shared
Lactobacillus_delbrueckii,shared
Lactobacillus_gasseri,shared
Lactobacillus_helveticus,shared
Lactobacillus_iners,shared
Lactobacillus_paragasseri,shared
Lactobacillus_ultunensis,shared
Lactococcus_A_raffinolactis,shared
Lactococcus_lactis,shared
Lancefieldella_parvula,shared
Lancefieldella_sp000411555,shared
Lancefieldella_sp000564995,shared
Lancefieldella_sp015258485,shared
Lancefieldella_sp015258605,shared
Lancefieldella_sp015258715,shared
Lancefieldella_sp015259035,shared
Lancefieldella_sp015259045,shared
Lancefieldella_sp015259105,shared
Latilactobacillus_sakei,shared
Lautropia_dentalis,shared
Lautropia_mirabilis,shared
Lawsonella_clevelandensis,shared
Lawsonella_sp018376445,shared
Leptotrichia_A_sp000469505,shared
Leptotrichia_A_sp001274535,shared
Leptotrichia_A_sp905371725,shared
Leptotrichia_buccalis,shared
Leptotrichia_hofstadii,shared
Leptotrichia_hongkongensis,shared
Leptotrichia_massiliensis,shared
Leptotrichia_shahii,shared
Leptotrichia_sp000469385,shared
Leptotrichia_sp001553645,shared
Leptotrichia_sp002240055,shared
Leptotrichia_sp013394795,shared
Leptotrichia_sp018128225,shared
Leptotrichia_trevisanii,shared
Leptotrichia_wadei,shared
Leptotrichia_wadei_A,shared
Levilactobacillus_brevis,shared
Ligilactobacillus_salivarius,shared
Limosilactobacillus_fermentum,shared
Limosilactobacillus_mucosae,shared
Limosilactobacillus_oris,shared
Limosilactobacillus_portuensis,shared
Limosilactobacillus_timonensis,shared
Limosilactobacillus_urinaemulieris,shared
Limosilactobacillus_vaginalis,shared
Listeria_monocytogenes,shared
Megasphaera_sp000417505,shared
Meiothermus_B_silvanus,shared
Mesocricetibacter_sp905373425,shared
Metamycoplasma_orale,shared
Metamycoplasma_salivarium,shared
Methanobrevibacter_A_oralis,shared
Microbacterium_aurum,shared
Microbacterium_oxydans,shared
Micrococcus_luteus,shared
Mogibacterium_diversum,shared
Mogibacterium_pumilum,shared
Mogibacterium_timidum,shared
Moraxella_A_cinereus,shared
Moraxella_catarrhalis,shared
Nanogingivalis_gingivitcus,shared
Nanogingivalis_sp013333405,shared
Nanogingivalis_sp015257795,shared
Nanogingivalis_sp900555945,shared
Nanogingivalis_sp900556165,shared
Nanoperiomorbus_sp905365345,shared
Nanosynbacter_lyticus,shared
Nanosynbacter_sp005697215,shared
Nanosynbacter_sp007845355,shared
Nanosynbacter_sp010202115,shared
Nanosynbacter_sp010202465,shared
Nanosynbacter_sp010202845,shared
Nanosynbacter_sp013099015,shared
Nanosynbacter_sp013099195,shared
Nanosynbacter_sp013100805,shared
Nanosynbacter_sp013100825,shared
Nanosynbacter_sp015257705,shared
Nanosynbacter_sp900555265,shared
Nanosynbacter_sp900555425,shared
Nanosynbacter_sp900555675,shared
Nanosynbacter_sp900555885,shared
Nanosynbacter_sp900556355,shared
Nanosynbacter_sp900557595,shared
Nanosynbacter_sp905372305,shared
Nanosynbacter_sp905372835,shared
Nanosynbacter_sp905373315,shared
Nanosynbacter_sp905373795,shared
Nanosyncoccus_nanoralicus,shared
Nanosyncoccus_sp013332965,shared
Nanosyncoccus_sp015257485,shared
Nanosyncoccus_sp905372495,shared
Neisseria_bacilliformis,shared
Neisseria_cinerea,shared
Neisseria_elongata,shared
Neisseria_flavescens,shared
Neisseria_lactamica,shared
Neisseria_meningitidis,shared
Neisseria_mucosa_A,shared
Neisseria_polysaccharea,shared
Neisseria_sicca_A,shared
Neisseria_sp000090875,shared
Neisseria_sp000186165,shared
Neisseria_sp002237445,shared
Neisseria_subflava,shared
Olegusella_massiliensis,shared
Olegusella_sp000466405,shared
Olsenella_F_profusa_A,shared
Olsenella_F_sp001189515,shared
Olsenella_I_phocaeensis,shared
Olsenella_uli,shared
