feature	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76
U18	0	0	0	0	0	0.0113369582298366	0.00193050135758138	0.0610238210117499	0	0.0110916069553167	0	0.00513164911895427	0.000322219197796392	0	0	2.00727683467431e-05	0	4.96532450119985e-05	0	0	0	0.00116772920573812	0	0	0	0	0.00739876329067015	0.0100957948889075	0	0	0.00350416783754736	0.00161674509295191	0.00197680536096513	0	0.00153548775703056	0	0.0339237578406508	0	0	0	0.0729621475781915	0.00952299416774114	0.261898038804384	0	0.000582490656300117	0.198306413673215	0.000190437490296315	2.83750414358485e-06	0.00156164537437278	0	0.000759221757981831	0	0	6.60879955393409e-06	0	0.0115264181168872	0.000264163164159424	0.00326372764839558	0	0.00247584427792507	0	0	0	0.00974319596084906	0.00731143060481071	0	0	0	0	0	0	0	0.00476810865802163	0.0134479515161611	0	0
U19	0	0	0.000229406239353026	1.64831330578997e-05	0	8.08925604510851e-05	0	0.000920967413597021	0	0.000179059983607132	0	0.00392881465203294	7.21250160809166e-05	0	0	1.33464860817839e-05	0	2.16239701187817e-05	0	0	0	0	0	0	0	0	0	0	2.19853417788268e-05	0	0	0	0	0	0	0.000475195701715287	1.33227870475678e-05	0	0.00100726304495537	0	0.223364684544932	0.0012452027899902	0.712842623817204	0	0.000306828461502629	0.0449893491500971	0	7.03310455248593e-06	0.000549110655569466	0	0	0	0	0	0	0.00283550882262011	5.37655235724836e-05	0.000442715497471419	0.000432915680831011	0.000635507689964154	0.000261032437487001	0	0	0.000891173540357607	0.000684361764593328	0.000842688405291512	0	0	0	5.77715527154502e-05	0	0	0.000276104885962208	0	0	0
U20	0	0	0	0	0	0	0	0	0	0	0	0.0071956895168355	0.00205409016130234	0	0	0	0	0	0	0	0	0.00101870926373084	0	0	0	0	0	5.95276046419228e-05	3.10390652171543e-05	0	0	0	0	0	0	0	0.00965781401693495	0	0.0659876454324438	0	0.10151163730586	0.03195401181461	0	0	0.00545759707965272	0.7175770822571	7.93337010170424e-06	0	0.00866978999665622	0	0	0	0	3.19365572374552e-05	0	0.0353255445985141	0	0	0	0	0	0	0	0	0	0	0	1.50305201116072e-05	0	0.000939820892614054	0.00786525708607026	0	5.03578934918449e-05	0	0	0
U21	0	0	0	0	0	0.000158392491170935	0	0	0	0	0	0.0154647714279636	0	0	0	7.70835938228032e-05	0	0	0	0	0	0	0	0.00220239379124899	0	0	0	9.34506845898232e-05	0	0	0	0	0	0	0	0	6.09688514086846e-05	0	0	0	0.0602313461117339	0	0	0	0.0122399073917337	0.855574684005108	6.55493163236034e-06	5.27409258650619e-06	0.00680702409370247	0	0	0.000920904356850824	0	3.00271719301894e-05	0	0.0432790545298253	0.000324757376652367	0	0	0	0	0	0	0	0	0	0	1.41930634649303e-05	0	0.000294068706124555	2.36745033279508e-05	0	2.77387411030458e-05	0	0	0
U22	0	0	0	0	0	0	0.0011825083593763	0	0	0	0	0.00703325035000119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52829032475523e-05	0	0	0	0	0	0	0	0	0.000350554117987156	0	0	0	0	0	0.627133979840322	0	0.00353476358598893	0.32994107623547	0	0	0.0050663870702181	0	0	0	0	0.000514843439625349	0	0.0246147963051042	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1201612004008e-05	0	0	0.00055135618065454	0	0	0
U23	0	0	0	0	0.00116680468607353	0	0	0	0	0	0	0.0276843080509179	2.50584617039625e-05	0	0	0.000201160789718622	0	0	0	0	0	0	0	0	0	0	0	0.000161837886895171	8.43861035163311e-05	0	0	0	4.26133060996796e-05	0	0	0	0.000100306565093822	0	0	0	0	0	0.0358157279414186	0	0.00795117627631588	0.885194825419705	2.51632906345717e-05	0	0.0102447960296887	0	0	0.00445944721101457	0	6.88620355953945e-05	0	0.023472523683959	0.00170889306821932	7.6722822162973e-05	0	0.000166855052867213	0	0	0	0	0	0	0	4.96199493071103e-05	0	0.000249461831019415	0	0	9.88780856605062e-05	0	2.14035778197999e-05	0
U24	0	0	0.00219208404348892	0	0	0	0	0	0	0	0	0.00444062614619933	0	0	0	3.70511714270608e-05	0	0	0	0	0	0	0	0	0	0	0	4.2849585929354e-05	9.18536718853539e-05	0	0	0	0	0	0	0	0	0	0.0054688890027141	0	0	0.0120589730798744	0.640185430666561	0	0.00264464753816295	0.303185819963017	0	0	0.00366015162257657	0.000152019778133375	0.000191441469737885	0.000786115421989487	0	0.00104585858778676	0.000107976159903583	0.0134439064957599	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93554129862611e-05	0	0.000805139192593245	0	0	0	0
U25	0	0	0	0	0	4.52951736168857e-05	0	0	0	0	0	0.00554483323120007	0.00236209154961457	0	0	0.000134658016101068	0	0	0	0	0	0	0	0	0	0	0	7.1191612209578e-05	0.00239960644173618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383530557909145	0	0.00519003679819264	0.573901003751775	0	0	0.00534921299540379	0	0	0.000852854280984236	0	0.000567270116538838	0	0.0162578065502987	0	0	0	0	0	0	0	0	0	0	0	1.28397493521109e-05	0	0.000114012404476913	0	0	0.00299213850667874	0	0.000674590912675732	0
U26	0	0	0	0.00841360230522782	0	0	0	0	3.39977892712064e-05	0	0	0.0134036770466963	0	0.000149444359242953	4.83903566333448e-05	0.000186498313603088	0.000106134743695317	5.90786771104715e-05	0.000157991889391158	0	0	0	0.000121563521538251	0	8.48106370561197e-05	0.000178498350047903	0	8.34908907895378e-05	0.000145113710311539	0	0	0	0	0	0	0	0.00013393450321391	0	0	0	0	0.019311039327341	0	0	0.0130430148378262	0.908281191786474	3.46175310810297e-05	0	0.00485310874322562	0	0	0	0	2.05944029642252e-05	0	0.0202080801550871	0	8.20933964551374e-05	0	0.000139366333913563	0	0	0	0	0.000199026218607937	0.000268324620979094	0	0	0	0	7.1444493704702e-05	0.00384753106911198	0.000224969131352981	0	2.37826174375702e-05	0
U27	0	0	0.0101558351401674	0.0426791382216082	0	0.00597633350242587	0	0	0	0	0	0.0167992967600167	0	0.139031024760146	0	3.45821770984229e-05	0	4.00772496724272e-05	3.00847911225425e-05	0	0	0	0	0	0	0	0	0	2.41784687968651e-05	0	1.28555463014759e-05	0	0	0.025344804719367	0	0	0.00536999360835337	0	0	0	0.0806000452400137	0.0254987672029108	0	0	0.00175915648205655	0.323967175169661	0	0	0.00232758279068788	0.000513147595417936	0.000244978786589258	0.00140723461965829	0	0.00051831111359112	0	0.0155417600054217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175476250300649	0.000671121071913916	0.00018227923364734	0.000869827501263125
U28	0	0	0	0	0.0128794294612809	0.00241220188758319	0	0	0	0	0	0.00288911382023235	0	0.000225807393392359	6.82424736309019e-05	0.000114536065107253	0.000134708599198285	0	0	0	0	0	0	0	0	0	0	9.41943207806468e-05	0.000112555428390589	0	0	0	0	0	0	0	0.00337409695173081	0	0	0	0	0.0468986240226038	0	0	0.0279831759176622	0.817600894872514	0	0	0.00723360444535122	0.00266006224827076	0.000600569248908725	0.00209389845761821	0	2.17824034350981e-05	0.00180471270198869	0.0301098393424591	0	0	0	0	0	0	0	0	0	0.00493107882440174	0	0	0	0	7.55658121187341e-05	0	0.000166009186207468	0.00642671702681858	0.000392889490379857	0
U29	0	0	0	0	0	0	0	0	0	0	0	0.00259356961758034	0.000168966730795552	0.000250760276114028	0	0.000139206665295155	0	0.000114350816995711	0	0	0	0	0	0	0	0	0	0.00193034261786248	0.000134562342616646	0	0	0	0	0	0	0	8.27973280424133e-05	0	0.0255847541236877	0	0.185292097610322	0.0184833078383235	0	0	0.00753682279934968	0.712775901513681	0	0	0.00629152559104844	0	0	0	0	0.00078870500785086	0	0.0160027988920882	0	0	0	0	0	0	0	0.00260071054098659	0	0	0	0	0.0001828875989891	0	0.0087283957009567	0	0.00899454193446355	0	1.68025211841784e-05	0
U30	0	0	0.00432346593938402	0.0516014849709774	0.00188779235269343	0	0	0	0.00199233372908111	0	0.00501059646471396	0.0062584556015112	0	0.443709841581295	2.35408601498546e-05	5.67327034350732e-05	3.09793070371116e-05	4.54794031235891e-05	4.89874074525779e-05	0	0	0	0	0	0	0	0	4.12413332462099e-05	7.49388847150922e-05	0	2.16546285938048e-05	0.00232992614641165	0	0	0	0	4.92088350333131e-05	0.00456967084066925	0	0	0	0.00579201769313545	0	0	0.00257400439074202	0.398508167605851	0	0	0.00381076459022183	0.000275113400374821	0	0	0.000398358105763586	6.93603471058361e-06	0.000678508857710976	0.0472695454096217	1.96471772251053e-05	0	0	0	0	0	0	0.00174140619911303	0	0	0	0	0	0	0.00763064840778455	0	7.0481721928596e-05	0	0	0
U31	0	0	0	0	0.000144679699442832	0	0	0	0	0	0	0.00140632066489255	0.000108016492935328	3.32643679748206e-05	0	1.2370070499905e-05	0	0	1.08205998126778e-05	0	0	0	0	0	0	0	0	0	8.69627227486911e-06	0	0	0	0	0	0	0	9.92345828856771e-05	0.131051655666573	0.00640794542931571	0	0.120932465590899	0.00192959084234036	0.526040580025335	0	0.000668626890601675	0.0774491390073982	0	0	0.000891997869371115	0.000109812173752337	0.000121456088704966	1.0368756390047e-05	0	0.000181607748924538	8.01282687248287e-05	0.00516146408499516	0	0	0	0	0	0	0	0	8.31388843076009e-05	0	0	0	0	0	9.15165288337513e-05	0	0.000261483906100664	3.1201388313625e-05	0	0
U32	0	0	0	0	0	0.0049696904053434	0	0	0	0	0	0.00453868959379003	0	0	0	0.000116946786775254	0	0.00273248109240022	9.41367859834492e-05	0	0	0	0	0	0	0	0	0.000134315912576908	9.07867259919417e-05	0	3.87889551079566e-05	0	0	0	0	0	9.24984281611726e-05	0.0657323791633468	0	0	0.0952541423738022	0	0.219425634232564	0	0.0110238559736348	0.551611814024781	0	0	0.00580953720678748	1.47987936626124e-05	0.0016780313739865	1.2586892158252e-05	0	2.76093633013275e-05	0.000970472718925768	0.0246763640487916	0	0	0	0	0	0	0	0.000225808202075451	0.000156952620265722	0.000134896016250272	0	0	0	0	0.00304701007876924	0	0.000294585155100805	0.000640474362007695	0	0
